id_lieu,annee_tournage,type_tournage,nom_tournage,nom_realisateur,nom_producteur,adresse_lieu,ardt_lieu,date_debut,date_fin,coord_x,coord_y,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_point_2d.lon,geo_point_2d.lat
2023-1261,2023,Série Web,DANS 5 ANS,Lea Rouaud,Studiocanal Séries,"42 rue césaria évora, 75019 paris",75019,2023-10-06,2023-10-06,654300.89,6866602.198,Feature,"[2.3766741424460416, 48.89780193378911]",Point,2.3766741424460416,48.89780193378911
2023-1354,2023,Série TV,Ça c'est Paris !,Marc Fitoussi,Mon Voisin Productions,"place lino ventura, 75009 paris",75009,2023-11-13,2023-11-13,651636.028,6864722.381,Feature,"[2.3405417831110835, 48.880702744791115]",Point,2.3405417831110835,48.88070274479112
2023-1414,2023,Série TV,Ça c'est Paris !,Marc Fitoussi,Mon Voisin Productions,"6 rue alfred stevens, 75009 paris",75009,2023-11-30,2023-11-30,651523.159,6864837.246,Feature,"[2.3389897391966112, 48.88172720368231]",Point,2.3389897391966112,48.88172720368231
2024-32,2024,Long métrage,Les chèvres aussi s'évanouissent,Marie Rémond,FILMS GRAND HUIT,"rue de l'ourcq, 75019 paris",75019,2024-05-02,2024-05-02,654476.007,6865990.634,Feature,"[2.3791281889270857, 48.89231478022803]",Point,2.3791281889270857,48.89231478022803
2024-620,2024,Long métrage,La divine,Guillaume Nicloux,les films du kiosque,"2 rue de lota, 75116 paris",75116,2024-02-08,2024-02-09,646901.29,6863314.357,Feature,"[2.2761615617909117, 48.86766781602572]",Point,2.276161561790912,48.86766781602572
2024-742,2024,Long métrage,GRAND MAISON TOKYO,Ayuko TSUKAHARA,GOOD FORTUNE FILMS,"115 rue saint-antoine, 75004 paris",75004,2024-03-09,2024-03-09,653100.717,6861856.079,Feature,"[2.3608287540503423, 48.85503493958986]",Point,2.3608287540503423,48.85503493958986
2019-189,2019,Long métrage,les hommes de Namsan,Min-Ho Woo,KEYSTONE FILMS,"voie georges pompidou, 75016 paris",75016,2019-02-21,2019-02-22,2.2812313,48.85253459,Feature,"[2.281231301495852, 48.85253459096246]",Point,2.281231301495852,48.85253459096246
2016-637,2016,Long métrage,LES FILLES DE REIMS,JULIEN HALLARD,LES FILMS VELVET,72  RUE  LOUIS LUMIERE,75020,2016-07-13,2016-07-13,2.41113,48.862341,Feature,"[2.411130000452292, 48.86234100029383]",Point,2.411130000452292,48.86234100029383
2016-1984,2016,Long métrage,MARIE FRANCINE,VALERIE LEMERCIER,RECTANGLE PRODUCTIONS,14  RUE  BOIS LE VENT,75016,2016-06-10,2016-06-10,2.276467,48.857662,Feature,"[2.276466999917593, 48.8576619997921]",Point,2.276466999917593,48.8576619997921
2019-378,2019,Série TV,PLATANE SAISON 3,ERIC JUDOR,4 MECS EN BASKETS,"1 avenue junot, 75018 paris",75018,2019-04-04,2019-04-04,2.33726499,48.88763615,Feature,"[2.337264992040926, 48.88763614851263]",Point,2.337264992040926,48.88763614851263
