id_lieu,annee_tournage,type_tournage,nom_tournage,nom_realisateur,nom_producteur,adresse_lieu,ardt_lieu,date_debut,date_fin,coord_x,coord_y,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_point_2d.lon,geo_point_2d.lat
2016-1939,2016,Série TV,LES HOMMES DE L'OMBRE,FRED GARSON,MACONDO,AVENUE  DU PRESIDENT WILSON,75016,2016-02-13,2016-02-13,2.29457,48.864614,Feature,"[2.294570000235056, 48.864614000274074]",Point,2.294570000235056,48.86461400027408
2016-1495,2016,Long métrage,MAMAN A TORT,MARC FITOUSSI,AVENUE B,PLACE  D'ITALIE,75013,2016-01-06,2016-01-06,2.355564,48.832294,Feature,"[2.355563999715622, 48.83229399959034]",Point,2.355563999715622,48.83229399959034
2020-1082,2020,Long métrage,STELLA EST AMOUREUSE,Sylvie Verheyde,ATELIER DE PRODUCTION,"rue buot, 75013 paris",75013,2020-12-22,2020-12-22,2.35006557,48.82657867,Feature,"[2.3500655715034946, 48.82657866735516]",Point,2.3500655715034946,48.82657866735516
2016-2623,2016,Long métrage,THE ESCAPE,DOMINIC SAVAGE,HANNA FILMS,BOULEVARD  DE DENAIN,75010,2016-10-19,2016-10-19,2.354527,48.879391,Feature,"[2.354527000351158, 48.87939100020501]",Point,2.354527000351158,48.87939100020501
2019-878,2019,Long métrage,PARENT D'ELEVE,NOEMIE SAGLIO,RECTANGLE PRODUCTIONS,"15 rue jacques hillairet, 75012 paris",75012,2019-07-16,2019-07-16,2.3875304,48.84276693,Feature,"[2.3875303963761287, 48.842766930345334]",Point,2.3875303963761287,48.84276693034533
2019-956,2019,Série TV,FIND ME IN PARIS Saison 3( LENA REVE D'ETOILES),"Matt BLOOM, Robert BURKE, Ronan BURKE",Cottonwood media,"avenue hussein 1er de jordanie, 75116 paris",75116,2019-08-28,2019-08-28,2.28906637,48.86174998,Feature,"[2.2890663653593615, 48.86174997591287]",Point,2.289066365359361,48.86174997591287
2021-1742,2021,Série TV,SOUS CONTROLE,ERWAN LE DUC,EX NIHILO,"place de la fontaine timbaud, 75011 paris",75011,2021-12-07,2021-12-07,2.37134336,48.86616491,Feature,"[2.3713433556709673, 48.866164912398354]",Point,2.3713433556709678,48.866164912398354
2017-549,2017,Série TV,Baron noir,Antoine Chevrollier - Ziad Doueiri,KWAI,"rue victor cousin, 75005 paris",75005,2017-09-28,2017-09-28,2.34269507,48.84826064,Feature,"[2.342695065951318, 48.84826063737199]",Point,2.342695065951318,48.84826063737199
2017-1618,2017,Long métrage,BUDAPEST,Xavier Gens,LABYRINTHE FILMS,"rue la condamine, 75017 paris",75017,2017-07-28,2017-07-29,2.3216459,48.88575674,Feature,"[2.32164589518768, 48.885756737479625]",Point,2.32164589518768,48.885756737479625
2017-595,2017,Série TV,FIND ME IN PARIS 3,MATT BLOOM et RANDALL THORN,COTTONWOOD MEDIA,"quai de la tournelle, 75005 paris",75005,2017-09-29,2017-09-29,2.35259167,48.85069895,Feature,"[2.3525916668048925, 48.85069894734096]",Point,2.3525916668048925,48.85069894734096
2017-485,2017,Long métrage,VOLTAIRE,Stephen Woolfenden,PENINSULA FILM,"avenue de l'opéra, 75001 paris",75001,2017-10-04,2017-10-04,2.33367533,48.86751612,Feature,"[2.3336753282538574, 48.867516114255984]",Point,2.3336753282538574,48.867516114255984
2018-480,2018,Série TV,L'art du crime saison 2,,GAUMONT TELEVISION c/o GAUMONT PRODUCTION TELEVISION,"106 rue de grenelle, 75007 paris",75007,2018-04-16,2018-04-16,2.32169965,48.85637013,Feature,"[2.321699646895043, 48.85637013203319]",Point,2.321699646895043,48.85637013203319
2017-1013,2017,Long métrage,TERRITOIRES,DAVID OELHOFFEN,ONE WORLD FILMS,"27 rue de condé, 75006 paris",75006,2017-12-22,2017-12-23,2.33799248,48.84972414,Feature,"[2.337992482813626, 48.84972413710669]",Point,2.337992482813626,48.84972413710669
2017-699,2017,Série TV,Baron noir,Antoine Chevrollier - Ziad Doueiri,KWAI,"rue de bercy, 75012 paris",75012,2017-10-12,2017-10-12,2.37618906,48.84219245,Feature,"[2.3761890649125714, 48.842192445808486]",Point,2.3761890649125714,48.842192445808486
2017-724,2017,Long métrage,AU BOUT DES DOIGTS,LUDOVIC BERNARD,RECIFILMS,"place saint-gervais, 75004 paris",75004,2017-10-20,2017-10-21,2.35416512,48.85582175,Feature,"[2.3541651159144346, 48.85582175149272]",Point,2.3541651159144346,48.85582175149272
2018-650,2018,Série TV,Can't Buy me love,Renaud Bertrand - Noémie Saglio,Unrated Studio,"3 place des victoires, 75001 paris",75001,2018-05-18,2018-05-19,2.34117748,48.86538957,Feature,"[2.341177475285961, 48.86538956890815]",Point,2.341177475285961,48.86538956890815
2017-1329,2017,Long métrage,Eiffel i'm in love 2,Rizal Mantovani,IFILMFRANCE,"avenue albert ier de monaco, 75116 paris",75116,2017-06-06,2017-06-06,2.29050227,48.86036539,Feature,"[2.2905022744341736, 48.86036538975737]",Point,2.2905022744341736,48.86036538975737
2019-1594,2019,Long métrage,SOOF 3,ANNE DE CLERCQ,Soof BV P/a,"place dauphine, 75001 paris",75001,2019-11-20,2019-11-20,2.34187932,48.85682578,Feature,"[2.341879321027444, 48.856825778005536]",Point,2.341879321027444,48.856825778005536
2016-1293,2016,Long métrage,C'EST TOUT POUR MOI,L. COLBEAU JUSTIN,LGM CINEMA,16  RUE  DE CLICHY,75009,2016-03-07,2016-03-07,2.330062,48.878388,Feature,"[2.3300620005436774, 48.87838799962874]",Point,2.3300620005436774,48.87838799962874
2016-2779,2016,Long métrage,LE RIRE DE MA MERE,COLOMBE SAVIGNAC,LOMA NASHA PRODUCTION,14  RUE  DE TREVISE/THEATRE DE TREVISE,75009,2016-08-03,2016-08-05,2.34529,48.87347,Feature,"[2.345290000655928, 48.87346999985117]",Point,2.345290000655928,48.87346999985117
2016-141,2016,Série TV,LES HOMMES DE L'OMBRE,FRED GARSON,MACONDO,4  RUE  OLIVIER MESSIAEN,75013,2016-04-13,2016-04-14,2.379074,48.829934,Feature,"[2.3790739999587505, 48.82993400042371]",Point,2.3790739999587505,48.82993400042371
2021-862,2021,Long métrage,UNE COMÉDIE ROMANTIQUE,Thibault Segouin,LATIKA,"10 rue drevet, 75018 paris",75018,2021-06-28,2021-07-07,2.34068145,48.88546211,Feature,"[2.3406814543268717, 48.88546210664751]",Point,2.340681454326872,48.88546210664751
2016-1098,2016,Long métrage,MARIAGE BLANC,TAREK BOUDALI,AXEL FILMS,74  RUE  DE DUNKERQUE,75009,2016-09-02,2016-09-02,2.345941,48.882328,Feature,"[2.345940999367885, 48.88232799997765]",Point,2.345940999367885,48.88232799997765
2016-1128,2016,Série TV,THE AFFAIR,JEFFREY REINER,GEM FILMS,27  RUE  DE BOURGOGNE,75007,2016-12-13,2016-12-13,2.317776,48.858167,Feature,"[2.3177759999759955, 48.858167000014205]",Point,2.3177759999759955,48.858167000014205
2016-240,2016,Série TV,MA PIRE ANGOISSE,VLADIMIR RODIONOFF,LES IMPRODUCTIBLES,34  RUE  RICHER,75009,2016-04-05,2016-04-05,2.344515,48.87409,Feature,"[2.344515000477002, 48.87408999974395]",Point,2.344515000477002,48.87408999974395
2021-941,2021,Série TV,JEUX D'INFLUENCE -SAISON 2,Jean-Xavier de LESTRADE,WHAT'S UP FILM,"5 avenue de bel-air, 75012 paris",75012,2021-07-07,2021-07-09,2.42099034,48.84325341,Feature,"[2.4209903424526824, 48.84325341299882]",Point,2.4209903424526824,48.84325341299882
2020-467,2020,Série TV,Rebecca,Didier Le Pêcheurs,Elephant Story,"19 rue keller, 75011 paris",75011,2020-09-10,2020-09-10,2.37565886,48.85489478,Feature,"[2.3756588599673782, 48.85489477646504]",Point,2.3756588599673782,48.85489477646504
2020-485,2020,Long métrage,La Croisade (séquences Bonus),Louis Garrel,Why Not Productions,"villa d'alésia, 75014 paris",75014,2020-09-12,2020-09-12,2.32366057,48.82821197,Feature,"[2.3236605722134467, 48.828211972741485]",Point,2.3236605722134467,48.828211972741485
2016-1419,2016,Série TV,NOIR ENIGMA,MANUEL BOURSINHAC,ASTHARTE ET COMPAGNIE,RUE  DES FOSSES SAINT JACQUES,75005,2016-01-11,2016-01-12,2.34415,48.845593,Feature,"[2.3441500006159424, 48.8455929996414]",Point,2.3441500006159424,48.8455929996414
2022-85,2022,Série TV,Hasta El Cielo,Daniel Calparsoro,Noodles Production,"quai branly, 75007 paris",75007,2022-02-14,2022-02-15,648623.3481,6862696.2825,Feature,"[2.2997100244152255, 48.862249264184946]",Point,2.299710024415225,48.86224926418495
2022-786,2022,Série TV,THE NEW LOOK,TODD ADAM KESSLER,BLOOM PRODUCTION,"25 rue pierre fontaine, 75009 paris",75009,2022-07-27,2022-07-29,651137.272,6864872.668,Feature,"[2.333724116179096, 48.88201657681615]",Point,2.333724116179096,48.88201657681615
2022-1005,2022,Long métrage,"MY DAUGHTER, MY LOVE",,FIRSTEP,"36b rue de montreuil, 75011 paris",75011,2022-09-15,2022-09-15,654995.685,6861324.04,Feature,"[2.386709757261991, 48.850385488786024]",Point,2.386709757261991,48.85038548878602
2022-1147,2022,Long métrage,JE NE SUIS PAS UN HÉROS,Rudy Milstein,Delante Productions,"79 quai de valmy, 75010 paris",75010,2022-10-07,2022-10-09,653349.665,6863786.007,Feature,"[2.364009575713447, 48.87240858536231]",Point,2.364009575713447,48.87240858536231
2023-1202,2023,Long métrage,OXANA,CHARLENE FAVIER,247 FILMS,"place des victoires, 75002 paris",75002,2023-10-07,2023-10-07,651665.586,6863084.059,Feature,"[2.34113119152001, 48.865971927696265]",Point,2.34113119152001,48.865971927696265
2023-1356,2023,Série TV,Ça c'est Paris !,Marc Fitoussi,Mon Voisin Productions,"55 boulevard marguerite de rochechouart, 75009 paris",75009,2023-11-13,2023-11-13,651666.257,6864870.142,Feature,"[2.3409371300982853, 48.8820337839231]",Point,2.3409371300982853,48.8820337839231
2024-157,2024,Série TV,THE BAKER AND THE BEAUTY,HERVÉ MIMRAN,TERENCE FILMS,"127b rue du ranelagh, 75016 paris",75016,2024-06-06,2024-06-07,646254.615,6862043.357,Feature,"[2.267507350922489, 48.85618435896527]",Point,2.267507350922489,48.85618435896527
2024-756,2024,Série TV,VITA DA CARLO,Mr Valerio VESTOSO,Bling Flamingo,"place vendôme, 75001 paris",75001,2024-03-15,2024-03-15,650810.455,6863223.659,Feature,"[2.329458900575733, 48.867162587812544]",Point,2.329458900575733,48.867162587812544
2024-835,2024,Long métrage,LOUISE,Nicolas KEITEL,GABMAN,"207 boulevard raspail, 75014 paris",75014,2024-03-13,2024-03-13,650838.007,6860336.287,Feature,"[2.3301683449613684, 48.84119882982012]",Point,2.3301683449613684,48.84119882982012
2024-931,2024,Série TV,EMILY IN PARIS SAISON 4,"ANDREW FLEMING, ERIN EHRLICH, PETER LAUER",EIPS4,"place de l'estrapade, 75005 paris",75005,2024-04-10,2024-04-12,651926.446,6860758.022,Feature,"[2.344949960046106, 48.8450736125738]",Point,2.344949960046106,48.8450736125738
2022-186,2022,Série TV,BARDOT,Danièle et Christopher Thompson,Fédération Entertainment,"chemin de ceinture du lac inférieur, 75016 paris",75016,2022-03-21,2022-03-22,646055.5672,6863199.757,Feature,"[2.264647928553733, 48.86656697419629]",Point,2.264647928553733,48.86656697419629
2022-215,2022,Série TV,TIKKOUN seconde equipe,"Xavier Giannoli, Frederic Planchon",CURIOSA FILMS,"10 rue louis vicat, 92170 vanves",92170,2022-03-17,2022-03-17,648103.518,6858773.093,Feature,"[2.293103564496037, 48.82692656543761]",Point,2.293103564496037,48.82692656543761
2022-1313,2022,Série TV,FURIES,CEDRIC NICOLAS TROYAN,EMPREINTE DIGITALE,"126 boulevard de la chapelle, 75018 paris",75018,2022-11-01,2022-11-03,652318.618,6865078.739,Feature,"[2.3498086828168137, 48.88395826739]",Point,2.3498086828168137,48.88395826739
2023-556,2023,Long métrage,MAISON DE RETRAITE 2,Claude Zidi Jr,MY FAMILY,"143 avenue emile zola, 75015 paris",75015,2023-05-30,2023-05-30,648283.046,6861016.418,Feature,"[2.2952761280265066, 48.84711523616087]",Point,2.2952761280265066,48.84711523616087
2018-1268,2018,Long métrage,L'INSPIRATRICE,GREGORY MAGNE,LES FILMS VELVET,"15 rue emile deslandres, 75013 paris",75013,2018-10-31,2018-10-31,2.34939325,48.83454611,Feature,"[2.349393251372958, 48.83454610442401]",Point,2.349393251372958,48.83454610442401
2016-1993,2016,Long métrage,THE ESCAPE,DOMINIC SAVAGE,HANNA FILMS,QUAI  DE MONTEBELLO,75005,2016-10-20,2016-10-20,2.349258,48.851803,Feature,"[2.349258000512429, 48.85180299956303]",Point,2.349258000512429,48.85180299956303
2016-2034,2016,Long métrage,MARIAGE BLANC,TAREK BOUDALI,AXEL FILMS,RUE  DES HOSPITALIERES SAINT GERVAIS,75004,2016-08-25,2016-08-25,2.358936,48.857943,Feature,"[2.3589360005868887, 48.85794300016219]",Point,2.3589360005868887,48.85794300016219
2016-2047,2016,Long métrage,MARIE FRANCINE,VALERIE LEMERCIER,RECTANGLE PRODUCTIONS,RUE  VITAL,75016,2016-06-10,2016-06-10,2.278726,48.859313,Feature,"[2.2787260003517207, 48.85931300010939]",Point,2.2787260003517207,48.85931300010939
2019-1179,2019,Série TV,Emily in Paris,Darren Star,NW2020,"60 rue de turenne, 75003 paris",75003,2019-09-20,2019-09-21,2.36463626,48.85906253,Feature,"[2.3646362629669273, 48.85906253052016]",Point,2.3646362629669277,48.85906253052016
2018-1379,2018,Long métrage,Voir le Jour,Stanley WOODWARD,LES FILMS DE LA NUIT,"124 rue de tolbiac, 75013 paris",75013,2018-11-14,2018-11-14,2.35947094,48.82627967,Feature,"[2.359470940410394, 48.826279672979474]",Point,2.359470940410394,48.826279672979474
2021-1634,2021,Téléfilm,Les Siffleurs,Nathalie MARCHAK,Storia Télévision,"port debilly, 75116 paris",75116,2021-11-16,2021-11-17,2.29444949,48.86254811,Feature,"[2.2944494891839087, 48.862548108958514]",Point,2.2944494891839087,48.862548108958514
2021-1656,2021,Téléfilm,A MAN OF ACTION,JAVIER RUIZ CALDERA,Films en tête,"pont alexandre iii, 75007 paris",75007,2021-11-19,2021-11-19,2.31348065,48.8631595,Feature,"[2.3134806513388844, 48.86315949822959]",Point,2.3134806513388844,48.86315949822959
2021-1659,2021,Téléfilm,A MAN OF ACTION,JAVIER RUIZ CALDERA,Films en tête,"1 rue de madrid, 75008 paris",75008,2021-11-20,2021-11-20,2.32249597,48.87873543,Feature,"[2.322495968156865, 48.87873542956339]",Point,2.322495968156865,48.87873542956339
2021-1419,2021,Téléfilm,Constance aux enfers,Gaël Morel,Septembre productions,"59 rue de clichy, 75009 paris",75009,2021-10-04,2021-10-04,2.32841327,48.88119565,Feature,"[2.3284132697136504, 48.881195652083015]",Point,2.3284132697136504,48.881195652083015
2021-1681,2021,Long métrage,LES VOLETS VERTS,Jean BECKER,ARPROD,"14 rue bochart de saron, 75009 paris",75009,2021-11-16,2021-11-17,2.34270119,48.8809717,Feature,"[2.342701191106111, 48.88097170323485]",Point,2.342701191106111,48.88097170323485
2021-1551,2021,Série TV,DESORDRES,Florence Foresti,ICONOCLAST,"2 rue eugène spuller, 75003 paris",75003,2021-11-05,2021-11-05,2.36153196,48.86399203,Feature,"[2.361531961565592, 48.863992026300004]",Point,2.361531961565592,48.8639920263
2016-2479,2016,Série TV,LOULOU,LEO KARMANN,LA ONDA PRODUCTIONS,BOIS*  DE BOULOGNE,75016,2016-05-24,2016-05-24,2.286885,48.875133,Feature,"[2.2868849999689465, 48.875133000370575]",Point,2.2868849999689465,48.875133000370575
2016-2287,2016,Long métrage,LA MELODIE,RACHID HAMI,MIZAR FILMS,7  RUE  JEAN QUARRE/COLLEGE GUILLAUME BUDE,75019,2016-07-25,2016-07-29,2.396256,48.87683,Feature,"[2.3962560006353737, 48.87682999960503]",Point,2.3962560006353737,48.87682999960503
2019-110,2019,Long métrage,LA PREMIERE SEANCE,Justine TRIET,LES FILMS PELLEAS,"32 rue de la roquette, 75011 paris",75011,2019-01-29,2019-01-29,2.37141023,48.8542511,Feature,"[2.3714102304923848, 48.854251099295105]",Point,2.3714102304923848,48.85425109929511
2019-121,2019,Long métrage,LA PREMIERE SEANCE,Justine TRIET,LES FILMS PELLEAS,"pont charles de gaulle, 75012 paris",75012,2019-01-29,2019-01-29,2.36913602,48.84258571,Feature,"[2.3691360159868426, 48.84258570428103]",Point,2.369136015986842,48.84258570428103
2019-1268,2019,Long métrage,Une histoire d'amour et de désir,Leila Bouzid,Blue Monday Productions,"25 quai d'anjou, 75004 paris",75004,2019-10-18,2019-10-19,2.3579918,48.85208833,Feature,"[2.3579918035951675, 48.85208832854965]",Point,2.3579918035951675,48.85208832854965
2020-783,2020,Téléfilm,DANS L'ENFER DES FOYERS,Akim Isker,CAPA DRAMA,"boulevard de clichy, 75009 paris",75009,2020-11-06,2020-11-06,2.33262034,48.88366027,Feature,"[2.3326203403650223, 48.88366027099463]",Point,2.3326203403650223,48.88366027099463
2018-32,2018,Série TV,"ALICE NEVERS episodes 98,99 saison 15",jean christophe delpias,EGO PRoductions,"42 rue scheffer, 75116 paris",75116,2018-01-26,2018-01-26,2.28160034,48.86249483,Feature,"[2.281600341666828, 48.862494824970604]",Point,2.281600341666828,48.86249482497061
2018-951,2018,Long métrage,It Must Be Heaven,Elia Suleiman,Rectangle Productions,"143 rue saint-denis, 75002 paris",75002,2018-08-17,2018-08-17,2.35009266,48.86458164,Feature,"[2.35009265658489, 48.86458164189326]",Point,2.35009265658489,48.86458164189326
2017-973,2017,Long métrage,Les Joueurs,Marie Monge,The Film,"rue jean-henri fabre, 75018 paris",75018,2017-11-17,2017-11-17,2.33886914,48.90117483,Feature,"[2.3388691405988298, 48.90117482443475]",Point,2.3388691405988298,48.90117482443475
2017-1525,2017,Long métrage,Cold war,Pawel PAWLIKOWSKI,Philippe Lelièvre,"1 rue scheffer, 75116 paris",75116,2017-07-17,2017-07-18,2.28513054,48.8600539,Feature,"[2.285130544247642, 48.86005390194775]",Point,2.285130544247642,48.86005390194775
2017-273,2017,Série TV,"ALICE NEVERS episodes 92, 93 saison 14",ERIC LE ROUX,EGO PRODUCTIONS,"4 avenue du général messimy, 75012 paris",75012,2017-04-20,2017-04-20,2.40976482,48.83724215,Feature,"[2.40976482340886, 48.837242152462224]",Point,2.40976482340886,48.837242152462224
2016-30,2016,Long métrage,JUST DIVORCED,MAXIME GOVARE,LES IMPRODUCTIBLES,7  RUE  SEXTIUS MICHEL,75015,2016-09-28,2016-09-28,2.288843,48.851416,Feature,"[2.2888430001046514, 48.851416000074806]",Point,2.288843000104652,48.851416000074806
2016-402,2016,Série TV,10%/SAISON 2,JEANNE HERRY,MON VOISIN PRODUCTIONS,1  BOULEVARD  POISSONNIERE,75002,2016-10-03,2016-10-03,2.3478,48.870665,Feature,"[2.347799999810793, 48.870664999893634]",Point,2.347799999810793,48.870664999893634
2020-534,2020,Long métrage,GOLIATH,Frederic TELLIER,SINGLE MAN PRODUCTIONS,"place charles de gaulle, 75017 paris",75017,2020-09-29,2020-09-29,2.2949242,48.87449291,Feature,"[2.294924203241817, 48.874492904867935]",Point,2.294924203241817,48.874492904867935
2020-379,2020,Long métrage,Une jeune fille qui va bien,Sandrine Kiberlain,CURIOSA FILMS,"galerie de montpensier, 75001 paris",75001,2020-08-21,2020-08-21,2.33666712,48.86413408,Feature,"[2.3366671197109308, 48.86413408042733]",Point,2.3366671197109308,48.86413408042733
2020-128,2020,Long métrage,Envole Moi,Christophe Barratier,Chapter 2,"35 rue pierre fontaine, 75009 paris",75009,2020-02-26,2020-02-26,2.33302858,48.88289084,Feature,"[2.3330285832444693, 48.882890838745645]",Point,2.3330285832444693,48.882890838745645
2021-684,2021,Série TV,SYNDROME E,Laure DE BUTLER,ESCAZAL FILMS,"24 rue fizeau, 75015 paris",75015,2021-05-31,2021-06-01,2.30418634,48.83032002,Feature,"[2.3041863447149256, 48.830320017470264]",Point,2.3041863447149256,48.83032001747026
2016-1507,2016,Série TV,SURROGATE PARTNER THERAPY,MATEO GUEZ,TOGETHER MEDIA 2,18  RUE  VULPIAN,75013,2016-10-31,2016-10-31,2.346303,48.831597,Feature,"[2.346303000186539, 48.83159700003068]",Point,2.346303000186539,48.83159700003068
2020-235,2020,Téléfilm,AU-DESSUS DES NUAGES,JEROME CORNUAU,EXILENE FILMS,"16 rue marguerite duras, 75013 paris",75013,2020-06-25,2020-06-25,2.38065934,48.82963858,Feature,"[2.380659343673446, 48.82963858070291]",Point,2.380659343673446,48.82963858070291
2016-1401,2016,Long métrage,THIRST STREET,NATHAN SILVER,IN VIVO FILMS,1 AU 26  RUE  DU BAC,75007,2016-08-25,2016-08-25,2.327982,48.857848,Feature,"[2.3279820001801665, 48.85784799980466]",Point,2.3279820001801665,48.85784799980466
2021-1023,2021,Série TV,Emily in Paris,Darren Star,EIP PRODUCTIONS,"route de l'etoile, 75116 paris",75116,2021-07-16,2021-07-16,2.26555628,48.87360447,Feature,"[2.2655562774932174, 48.873604470452186]",Point,2.2655562774932174,48.873604470452186
2022-320,2022,Long métrage,"Notre Tout Petit, Petit Mariage",Frédéric Quiring,LES FILMS DU 24,"1 place des victoires, 75001 paris",75001,2022-04-27,2022-04-27,651639.435,6863032.122,Feature,"[2.3407806420948747, 48.86550290466251]",Point,2.3407806420948747,48.86550290466251
2022-429,2022,Série TV,L'art du crime saison 6,Christelle RAYNAL,GAUMONT TELEVISION,"22 rue norvins, 75018 paris",75018,2022-06-03,2022-06-04,651550.837,6865436.862,Feature,"[2.3392987171135955, 48.88712143421332]",Point,2.3392987171135955,48.88712143421332
2022-847,2022,Long métrage,"KHOLOP,  SON OF A RICH","Franck Magnier, Alexandre Charlot",MACADAM FILMS,"9 rue de vienne, 75008 paris",75008,2022-08-30,2022-08-30,650250.273,6864329.314,Feature,"[2.32169352646741, 48.877062445017216]",Point,2.32169352646741,48.877062445017216
2022-1162,2022,Série TV,L’école de la vie,Slimane Baptiste Berhoun et Nolwenn Lemesle,Fiction’air,"4 place de la nation, 75012 paris",75012,2022-10-14,2022-10-16,655551.69,6861046.339,Feature,"[2.3943153687629315, 48.84792671876196]",Point,2.3943153687629315,48.84792671876196
2023-88,2023,Téléfilm,Le Pseudo,Gilles Paquet Brenner,Beaubourg Stories 2,"rue cadet, 75009 paris",75009,2023-01-25,2023-01-25,651868.149,6864190.163,Feature,"[2.343766990057948, 48.875934047915]",Point,2.343766990057948,48.875934047915
2023-125,2023,Série TV,SSX,"Matteo Rovere, Francesca miazzoleni, Francesco Carrozzini",BANIJAY STUDIO FRANCE,"6 rue de la bastille, 75004 paris",75004,2023-02-06,2023-02-11,653621.972,6861710.718,Feature,"[2.3679482782307035, 48.853765451430924]",Point,2.3679482782307035,48.85376545143093
2023-459,2023,Série TV,LA FIEVRE,Ziad Doueiri,QUAD+TEN,"8 rue de l'ermitage, 75020 paris",75020,2023-04-28,2023-04-29,655373.708,6863498.257,Feature,"[2.391632738845595, 48.86996432681757]",Point,2.391632738845595,48.86996432681757
2024-775,2024,Série TV,ETOILE S1,Amy Sherman Palladino / Dan Palladino,BALLET,"35 rue de charenton, 75012 paris",75012,2024-03-12,2024-03-12,653890.087,6861515.353,Feature,"[2.3716232512366, 48.85202778746346]",Point,2.3716232512366,48.85202778746346
2016-2663,2016,Long métrage,SI J'ETAIS UN HOMME,AUDREY DANA,CURIOSA FILMS,SQUARE  DE LA PLACE DE LA REUNION,75020,2016-02-17,2016-02-17,2.406276,48.857722,Feature,"[2.4062759999279746, 48.857721999764195]",Point,2.4062759999279746,48.8577219997642
2016-2586,2016,Long métrage,THE ESCAPE,DOMINIC SAVAGE,HANNA FILMS,4  RUE  MAZAGRAN,75010,2016-10-22,2016-10-22,2.351399,48.870312,Feature,"[2.351399000573803, 48.870312000017286]",Point,2.351399000573803,48.870312000017286
2016-653,2016,Série TV,LEBOWITZ CONTRE LEBOWITZ/9 A 12,CHRISTOPHE BARRAUD,CHABRAQUE PRODUCTIONS,PASSAGE  DELESSERT,75010,2016-10-27,2016-10-27,2.365514,48.878903,Feature,"[2.3655140004155055, 48.87890300003652]",Point,2.365514000415505,48.87890300003652
2016-659,2016,Long métrage,IRIS/EX CHAOS,JALIL LESPERT,WY PRODUCTIONS,307 AU 317  RUE  DE BELLEVILLE,75019,2016-03-10,2016-03-10,2.403746,48.876556,Feature,"[2.4037460001965916, 48.87655600030569]",Point,2.403746000196592,48.87655600030569
2016-2056,2016,Long métrage,MON POUSSIN,FREDERIC FORESTIER,LES FILMS DU 24,RUE  FRANCOIS MIRON,75004,2016-03-17,2016-03-17,2.357247,48.855558,Feature,"[2.3572470000825727, 48.85555799967626]",Point,2.3572470000825727,48.85555799967626
2019-1016,2019,Série TV,GRAND'MAISON TOKYO,"Ayuko TSUKAHARA,",LUTETIA FILMS,"avenue de l'opéra, 75001 paris",75001,2019-08-01,2019-08-01,2.33367533,48.86751612,Feature,"[2.3336753282538574, 48.867516114255984]",Point,2.3336753282538574,48.867516114255984
2019-1045,2019,Série TV,Emily in Paris,Darren Star,NW2020,"9 rue de valois, 75001 paris",75001,2019-08-14,2019-08-14,2.338158,48.86408389,Feature,"[2.3381579997678283, 48.86408388591413]",Point,2.3381579997678283,48.86408388591413
2021-1391,2021,Série TV,MISKINA,Melha BEDIA et Anthony MARCIANO,QUAD SERVICES,"rue irénée blanc, 75020 paris",75020,2021-09-28,2021-09-28,2.40761997,48.8655822,Feature,"[2.4076199744352147, 48.86558219508507]",Point,2.4076199744352147,48.86558219508507
2016-2459,2016,Long métrage,DEMAIN ET TOUS LES AUTRES JOURS (2),NOVEMIE LVOVSKY,F COMME FILM,15  RUE  POLIVEAU,75005,2016-03-02,2016-03-02,2.360048,48.840246,Feature,"[2.360048000624602, 48.840245999846665]",Point,2.360048000624602,48.840245999846665
2016-1034,2016,Long métrage,LES FANTOMES D'ISMAEL,ARNAUD DESPLESCHIN,WHY NOT PRODUCTIONS,39  BOULEVARD  MAGENTA,75010,2016-09-12,2016-09-12,2.359217,48.872477,Feature,"[2.3592170000328294, 48.87247699995789]",Point,2.3592170000328294,48.87247699995789
2016-915,2016,Long métrage,SI J'ETAIS UN HOMME,AUDREY DANA,CURIOSA FILMS,8  RUE  DE NAVARIN,75009,2016-02-01,2016-02-01,2.339392,48.879596,Feature,"[2.3393919999818182, 48.879595999711086]",Point,2.3393919999818182,48.879595999711086
2016-755,2016,Long métrage,MARYLINE,GUILLAUME GALLIENNE,LGM FILMS,4  RUE  MONSIGNY,75002,2016-10-10,2016-10-10,2.335315,48.868378,Feature,"[2.3353149998980522, 48.86837799972641]",Point,2.335314999898052,48.86837799972641
2016-2300,2016,Long métrage,ALIBI.COM,PHILIPPE LACHEAU,FECHNER FILMS,SQUARE  JEAN AICARD,75011,2016-05-25,2016-05-25,2.381095,48.865696,Feature,"[2.3810950000811517, 48.865696000194625]",Point,2.381095000081152,48.86569600019463
2017-899,2017,Long métrage,LES CHAMPS DE FLEURS,Jeanne Herry,CHI FOU MI PRODUCTIONS,"rue des grands moulins, 75013 paris",75013,2017-11-09,2017-11-09,2.37778376,48.82806556,Feature,"[2.3777837631621623, 48.828065557148896]",Point,2.3777837631621623,48.828065557148896
2018-1151,2018,Série TV,CANDICE RENOIR SAISON 7 Ep 62-63-64,Pascal Lahmani,BOXEUR 7,"rue saint-vincent, 75018 paris",75018,2018-10-17,2018-10-17,2.33906543,48.88867553,Feature,"[2.339065430746243, 48.88867553261201]",Point,2.339065430746243,48.88867553261201
