type_de_document,prets,titre,auteur,nombre_de_localisations,nombre_de_pret_total,nombre_d_exemplaires
Livre adulte,757,anéantir,"Houellebecq,  Michel",51,991,66
Bande dessinée jeunesse,568,Naruto. 60,"Kishimoto,  Masashi",40,3169,52
Bande dessinée ado,713,Sale temps pour les moches,Delaf,45,3281,61
Bande dessinée jeunesse,584,Un enfant chez les schtroumpfs,"Díaz Vizoso,  Miguel",31,4504,43
Bande dessinée jeunesse,551,Le Roi des cancres,"Godi,  Bernard",29,2165,39
Bande dessinée jeunesse,670,Max a une amoureuse,"Saint-Mars,  Dominique de",31,2926,52
Bande dessinée jeunesse,566,Naruto. 55,"Kishimoto,  Masashi",38,2893,49
Bande dessinée jeunesse,623,Début des hostilités,"Shirai,  Kaiu",52,1759,56
Bande dessinée adulte,580,Alice Guy,"Bocquet,  José-Louis",47,763,50
Bande dessinée jeunesse,1006,Coeur du passé,"Sobral,  Patrick",50,4462,78
Bande dessinée jeunesse,844,Asterix en Corse,"Goscinny,  René",50,4976,74
Bande dessinée jeunesse,631,Loto et colles,Pica,28,2809,41
Bande dessinée jeunesse,1583,Funky moumoute,Mr Tan,56,4807,122
Bande dessinée jeunesse,1088,Max et Lili décident de bien manger,"Saint-Mars,  Dominique de",41,4584,94
Livre adulte,742,Chevreuse : roman,"Modiano,  Patrick",51,873,56
Livre adulte,655,Les enfants sont rois : roman,"Vigan,  Delphine de",54,1312,57
Livre jeunesse,631,Un coeur à prendre,"Kinney,  Jeff",47,2466,63
Bande dessinée adulte,918,Astérix légionnaire,"Goscinny,  René",49,4210,75
Bande dessinée jeunesse,556,Naruto. 45,"Kishimoto,  Masashi",40,3298,51
Bande dessinée jeunesse,638,Naruto. 20,"Kishimoto,  Masashi",41,4383,59
Bande dessinée jeunesse,607,My hero academia. 21,"Horikoshi,  K?hei",49,1481,57
Bande dessinée jeunesse,549,Un copieur sachant copier,"Godi,  Bernard",33,3481,39
Bande dessinée jeunesse,786,A fond le slip !,Zep,45,2966,68
Bande dessinée jeunesse,579,Le rêve des guerriers : édition originale,"Oda,  Eiichir?",47,1373,52
Bande dessinée jeunesse,570,L'aventure d'Oden,"Oda,  Eiichir?",44,1268,49
Bande dessinée jeunesse,816,"Max raconte des bobards""""","Saint-Mars,  Dominique de",45,4225,74
Bande dessinée jeunesse,640,One Piece : édition originale. 98,"Oda,  Eiichir?",47,1028,53
Bande dessinée jeunesse,677,Max n'aime pas lire,"Saint-Mars,  Dominique de",37,3346,71
Bande dessinée jeunesse,594,My hero academia. 11. La fin du commencement et le commencement de la fin,"Horikoshi,  K?hei",49,2271,54
Bande dessinée jeunesse,581,Max part en classe verte,"Saint-Mars,  Dominique de",34,2875,51
Bande dessinée jeunesse,742,Jérémy est maltraité,"Saint-Mars,  Dominique de",36,4256,64
Bande dessinée jeunesse,575,Naruto. 30,"Kishimoto,  Masashi",42,3558,55
Bande dessinée jeunesse,803,L'odyssée d'Astérix,"Uderzo,  Albert",46,4585,65
Bande dessinée jeunesse,590,Naruto. 26,"Kishimoto,  Masashi",44,3378,59
Bande dessinée jeunesse,589,Sens dessus dessous,"Gillot,  Laurence",42,1229,42
Bande dessinée jeunesse,987,Je veux que tu m'aimes !,"Lyfoung,  Patricia",52,5681,77
Bande dessinée jeunesse,772,No problemo,,43,2843,53
Livre adulte,706,L'inconnue de la Seine,"Musso,  Guillaume",49,940,55
Livre jeunesse,636,Tut-tut !,"Kasano,  Yuichi",50,1878,74
Bande dessinée adulte,599,Peau d'homme,Hubert,52,1440,54
Bande dessinée jeunesse,923,Beauty trap,Midam,48,2186,62
Bande dessinée jeunesse,886,Nadia se marie,Zep,45,4633,77
Bande dessinée jeunesse,786,Souvenirs d'Ecosse. 2,"Lyfoung,  Patricia",50,1812,57
Bande dessinée jeunesse,747,"My hero academia. 2. Déchaîne-toi, maudit nerd !","Horikoshi,  Kohei",49,3701,65
Bande dessinée jeunesse,603,Môssieur Susupe et môssieur Krokro,"Guibert,  Emmanuel",36,2910,46
Bande dessinée jeunesse,644,Naruto. 34,"Kishimoto,  Masashi",42,4395,59
Bande dessinée jeunesse,585,The promised Neverland. 11,"Shirai,  Kaiu",51,1582,54
Bande dessinée jeunesse,966,C'est dans sa nature,"Cazenove,  Christophe",47,3010,73
Bande dessinée jeunesse,879,La rose écarlate. 7. Tu seras toujours à moi,"Lyfoung,  Patricia",52,4336,75
Bande dessinée jeunesse,851,Lili se fait toujours gronder,"Saint-Mars,  Dominique de",43,4027,72
Bande dessinée jeunesse,673,Apocalypse boy,Midam,41,4027,55
Bande dessinée jeunesse,661,La rose écarlate : Missions. 06. La Belle et le loup. 2,"Lyfoung,  Patricia",45,1805,55
Bande dessinée jeunesse,614,Parés au décollage !,"Lodwitz,  Sophie",39,1445,43
Bande dessinée jeunesse,714,Le sceptre d'Ottokar,Hergé,59,5538,82
Jeux de société prêtable,976,SOS ouistiti :,,4,1868,5
Livre sonore jeunesse,747,Coco en vacances,"Du Bouchet,  Paule",51,2160,84
Bande dessinée jeunesse,588,Spy x Family. 3,"End?,  Tatsuya",53,1262,57
Livre sonore jeunesse,672,L'anniversaire de Coco,"Du Bouchet,  Paule",39,1769,67
Bande dessinée jeunesse,603,Naruto. 17,"Kishimoto,  Masashi",43,3413,57
Bande dessinée jeunesse,665,C'est du propre !,"Didier,  Anne",46,1155,52
Bande dessinée jeunesse,973,Le domaine des dieux,"Goscinny,  René",54,5750,83
Bande dessinée jeunesse,661,Les Schtroumpfs et l'amour sorcier,"Jost,  Alain",32,2288,38
Bande dessinée jeunesse,737,Rentrée des clashs,Erroc,34,1695,44
Bande dessinée adulte,695,Les cahiers d'Esther. 5. Histoires de mes 14 ans,"Sattouf,  Riad",59,1717,64
Bande dessinée jeunesse,628,Naruto. 29,"Kishimoto,  Masashi",43,4043,61
Bande dessinée jeunesse,555,L'atelier des sorciers. 4,"Shirahama,  Kamome",53,1696,54
Bande dessinée jeunesse,781,Fatal attraction,Adam,41,3480,52
Bande dessinée jeunesse,746,Chat va bien !,Mr Tan,45,2926,56
Bande dessinée jeunesse,847,Lili fait sa commandante,"Saint-Mars,  Dominique de",42,4187,70
Bande dessinée jeunesse,861,Les nerfs à vif,Nob,48,2837,62
Bande dessinée jeunesse,551,Révise un max !,Zidrou,27,2911,37
Bande dessinée jeunesse,1617,Karmastrophique,Mr Tan,54,3629,115
Bande dessinée jeunesse,583,L'étrange réveil du Schtroumpf paresseux,Peyo,28,2749,39
Bande dessinée jeunesse,570,L'escalade,Dugomier,47,1858,54
Bande dessinée jeunesse,610,The promised Neverland. 19,"Shirai,  Kaiu",52,1191,54
Bande dessinée jeunesse,673,Fairy Tail. 1,"Mashima,  Hiro",42,2766,56
Bande dessinée jeunesse,976,Le royaume des larmes,"Sobral,  Patrick",47,2686,69
Bande dessinée jeunesse,633,The promised neverland. 4,"Shirai,  Kaiu",52,2124,58
Bande dessinée jeunesse,559,Une sorcière sachant voler,"Bloch,  Serge",45,1161,49
Bande dessinée jeunesse,1157,Ultra top secret !,"Didier,  Anne",46,3529,70
Bande dessinée jeunesse,935,La grande aventure,Zep,53,1762,76
Bande dessinée jeunesse,712,Oups !,Midam,40,3097,48
Livre adulte,582,Monument national,"Deck,  Julia",40,620,42
Bande dessinée jeunesse,560,Le dernier des cinq trésors,"Chamblain,  Joris",52,3235,60
Bande dessinée jeunesse,776,Game over. 13. Toxic affair,Midam,36,2652,48
Livre jeunesse,603,Totalement givré !,"Kinney,  Jeff",50,1799,59
Bande dessinée jeunesse,617,A bas les soucis !,"Morel,  Marylise",39,1200,44
Bande dessinée jeunesse,599,The promised neverland. 6,"Shirai,  Kaiu",51,1996,52
Bande dessinée jeunesse,863,Max et Lili veulent éduquer leurs parents,"Saint-Mars,  Dominique de",43,5818,80
Bande dessinée jeunesse,673,Sacrées sorcières,"Bagieu,  Pénélope",53,1605,62
Bande dessinée jeunesse,1060,C'est nikol crème !,"Cazenove,  Christophe",44,5044,75
Bande dessinée jeunesse,1013,Un namour de sister,"Maury,  William",46,4069,70
Bande dessinée jeunesse,640,Le maître blagueur,"Coppée,  Thierry",37,2597,51
Livre adulte,635,Feu,"Pourchet,  Maria",47,892,54
Bande dessinée jeunesse,595,Naruto. 24,"Kishimoto,  Masashi",44,4219,61
Bande dessinée jeunesse,1208,Les dents du lapin,"Guibert,  Emmanuel",44,4329,83
Bande dessinée jeunesse,879,Max embête les filles,"Saint-Mars,  Dominique de",39,4886,77
Bande dessinée jeunesse,867,Elle rend le monde meilleur,"Lyfoung,  Patricia",51,2502,69
Bande dessinée jeunesse,828,Le ciel lui tombe sur la tete,"Uderzo,  Albert",45,4239,67
Bande dessinée jeunesse,781,Lili va chez la psy,"Saint-Mars,  Dominique de",41,4925,73
Bande dessinée jeunesse,623,Titeuf. 13. A la folie !,Zep,38,2984,53
Jeux de société prêtable,854,Uno :,,23,3136,34
Bande dessinée jeunesse,776,Tu aurais dû me laisser mourir,"Lyfoung,  Patricia",51,3668,68
Bande dessinée jeunesse,728,Vol 714 pour Sydney,Hergé,56,4914,74
Bande dessinée jeunesse,661,My hero academia. 4. Celui qui avait tout,"Horikoshi,  Kohei",50,3056,58
Bande dessinée jeunesse,550,L'aéroschtroumpf,Peyo,26,2506,34
Bande dessinée jeunesse,1336,Au pays des contes défaits,Mr Tan,51,3026,88
Bande dessinée jeunesse,680,Lili est désordre,"Saint-Mars,  Dominique de",40,3201,65
Bande dessinée jeunesse,633,Le père de Max et Lili est au chômage,"Saint-Mars,  Dominique de",37,4053,66
Bande dessinée jeunesse,815,Game over. 8. Cold case : affaires glacées,Midam,41,2997,53
Bande dessinée jeunesse,580,Naruto. 70,"Kishimoto,  Masashi",45,3135,54
Bande dessinée jeunesse,759,Max et Lili font les baby-sitters,"Saint-Mars,  Dominique de",39,786,63
Bande dessinée jeunesse,1039,L'Alystory,"Sobral,  Patrick",50,3939,77
Livre jeunesse,681,"La vérité toute moche : grandir ou ne pas grandir, telle est la question !","Kinney,  Jeff",48,2974,66
Bande dessinée jeunesse,739,Blagues to school,"Coppée,  Thierry",47,1645,54
Bande dessinée jeunesse,617,Max se bagarre,"Saint-Mars,  Dominique de",36,3151,60
Bande dessinée jeunesse,568,Lâchez-moi le slip !,Zep,39,2768,59
Bande dessinée jeunesse,901,Lili trouve sa maîtresse méchante,"Saint-Mars,  Dominique de",40,4694,72
Bande dessinée jeunesse,774,Les Schtroumpfs et la tempête blanche,"Jost,  Alain",44,975,49
Bande dessinée jeunesse,671,"Allez, les monstres !","Cohen,  Jacqueline",28,3559,43
Bande dessinée jeunesse,973,Le réveil du Kréa-Kaos,"Sobral,  Patrick",50,4070,72
Bande dessinée ado,800,Les nombrils. 6. Un été trop mortel !,Delaf,40,2765,57
Bande dessinée jeunesse,715,Max et lili sont fans de marques,"Saint-Mars,  Dominique de",34,3597,61
Livre adulte,612,Sérotonine,"Houellebecq,  Michel",44,1675,58
Livre adulte,675,S'adapter,"Dupont-Monod,  Clara",43,1040,49
Bande dessinée jeunesse,1003,Astérix et les Normands,"Goscinny,  René",56,5396,81
Bande dessinée jeunesse,995,Lili a trop honte,"Saint-Mars,  Dominique de",45,6105,92
Bande dessinée jeunesse,753,Lili ne veut plus se montrer toute nue,"Saint-Mars,  Dominique de",34,2924,59
Bande dessinée jeunesse,817,Cap ou pas cap ?,"Cazenove,  Christophe",46,1104,59
Bande dessinée jeunesse,744,Heure de cool,Erroc,40,1641,47
Livre adulte,721,Le grand monde,"Lemaitre,  Pierre",53,1199,67
Bande dessinée jeunesse,848,Bad cave,Midam,46,1951,56
Bande dessinée ado,637,Blue lock. 1,"Kaneshiro,  Muneyuki",34,618,44
Bande dessinée jeunesse,1081,Le cycle d'Anathos : renaissance,"Sobral,  Patrick",51,4217,83
Bande dessinée jeunesse,639,Les p'tits schtroumpfs,Peyo,33,2868,45
Bande dessinée jeunesse,897,Le combat des chefs,"Goscinny,  René",46,4655,66
Bande dessinée jeunesse,607,The promised neverland. 8,"Shirai,  Kaiu",50,1717,53
Bande dessinée jeunesse,597,Spy x Family. 4,"End?,  Tatsuya",53,1160,55
Bande dessinée jeunesse,774,Max n'aime pas l'école,"Saint-Mars,  Dominique de",42,5552,91
Bande dessinée jeunesse,1273,Max et Lili veulent soigner tout le monde,"Saint-Mars,  Dominique de",52,2855,106
Bande dessinée ado,723,Un bonheur presque parfait,"Dubuc,  Maryse",41,2254,59
Bande dessinée jeunesse,806,C'est pas gagné !,"Didier,  Anne",42,1493,52
Bande dessinée jeunesse,555,Le livre d'Hector,"Chamblain,  Joris",50,2762,58
Bande dessinée jeunesse,632,Amir,"Ogaki,  Philippe",48,2112,54
Musique jeunesse,630,Coco et son pot,"Du Bouchet,  Paule",42,1486,72
Bande dessinée adulte,785,Une jeunesse au Moyen-Orient : 1985-1987,"Sattouf,  Riad",52,4031,75
Bande dessinée jeunesse,609,One Piece : édition originale. 89,"Oda,  Eiichir?",46,1721,55
Bande dessinée jeunesse,1281,Max en a marre de sa soeur,"Saint-Mars,  Dominique de",48,6287,114
Bande dessinée adulte,672,Le bouclier arverne,"Goscinny,  René",36,2614,50
Bande dessinée jeunesse,587,Naruto. 12,"Kishimoto,  Masashi",45,3672,58
Livre jeunesse,561,Coco et les bulles de savon,"Du Bouchet,  Paule",40,1565,70
Bande dessinée jeunesse,556,La fête de Yuei,"Horikoshi,  K?hei",48,1588,55
Bande dessinée jeunesse,1004,Griffes et plumes,"Sobral,  Patrick",49,4327,79
Bande dessinée jeunesse,1369,Pas de pitié pour les nazebroques !,Tan,51,3763,100
Bande dessinée jeunesse,614,La nouvelle(s),"Toussaint,  Kid",47,1129,53
Bande dessinée jeunesse,612,La coqueluche du village d'Ebisu,"Oda,  Eiichir?",46,1449,52
Bande dessinée jeunesse,992,Danaël,"Sobral,  Patrick",51,3219,77
Bande dessinée jeunesse,790,Naruto. 2,"Kishimoto,  Masashi",45,3891,73
Bande dessinée jeunesse,660,L'élève dépasse le mètre,"Coppée,  Thierry",38,3358,57
Bande dessinée jeunesse,631,L'héritage,"Horikoshi,  K?hei",50,1559,56
Bande dessinée jeunesse,592,The promised Neverland. 18,"Shirai,  Kaiu",52,1201,54
Bande dessinée jeunesse,621,Les sauveurs d'Outoupousse,"Fraipont,  Céline",48,1212,54
Bande dessinée jeunesse,732,Me pardonneras-tu ?,"Lyfoung,  Patricia",50,3814,63
Bande dessinée jeunesse,1146,Lili veut jouer au foot,"Saint-Mars,  Dominique de",50,3434,99
Bande dessinée jeunesse,1004,Lou !. 5,"Neel,  Julien",51,4939,79
Bande dessinée jeunesse,709,Les parents de Max et Lili se disputent,"Saint-Mars,  Dominique de",37,4547,67
Bande dessinée jeunesse,606,Tueurs à gags,"Coppée,  Thierry",39,3045,51
Bande dessinée jeunesse,564,Increvables !,"Cohen,  Jacqueline",30,4090,49
Bande dessinée jeunesse,1242,Ce nigaud d'agneau,"Guibert,  Emmanuel",48,3630,81
Bande dessinée jeunesse,850,Star à domicile,Nob,48,2377,61
Livre jeunesse,633,Zéro réseau,"Kinney,  Jeff",50,2864,62
Bande dessinée jeunesse,572,One Piece : édition originale. 85,"Oda,  Eiichir?",46,2029,57
Bande dessinée adulte,743,"L'Arabe du futur. 2. Une jeunesse au Moyen-Orient, 1984-1985","Sattouf,  Riad",52,4137,70
Bande dessinée jeunesse,615,My hero academia. 30,"Horikoshi,  K?hei",49,932,53
Bande dessinée jeunesse,1108,World without : la bataille du néant,"Sobral,  Patrick",53,3569,84
Bande dessinée jeunesse,735,Un cow-boy dans le coton,Jul,50,1548,62
Bande dessinée jeunesse,630,My hero academia. 10. #All for one,"Horikoshi,  K?hei",50,2486,55
Bande dessinée jeunesse,558,Un prince à croquer. 2. Plat,"Lyfoung,  Patricia",39,2933,49
Bande dessinée jeunesse,695,Hong Kong,"Ogaki,  Philippe",47,1912,55
Livre jeunesse,561,Double peine,"Kinney,  Jeff",48,2424,56
Bande dessinée jeunesse,970,La force tranquille,Nob,50,2088,63
Bande dessinée jeunesse,968,Max veut etre délégué de classe,"Saint-Mars,  Dominique de",42,4375,76
Bande dessinée jeunesse,597,Bill à facettes,"Cazenove,  Christophe",47,1407,51
Bande dessinée jeunesse,1506,Mortelle Adèle. 4. J'aime pas l'amour,Tan,55,5365,118
Bande dessinée jeunesse,833,Lili veut choisir ses habits,"Saint-Mars,  Dominique de",36,4533,62
Bande dessinée jeunesse,744,Les fous du mercredi,"Cohen,  Jacqueline",31,5169,54
Bande dessinée jeunesse,929,Lili se fait piéger sur internet,"Saint-Mars,  Dominique de",43,4312,79
Bande dessinée jeunesse,805,Max est fou de jeux vidéo,"Saint-Mars,  Dominique de",43,4602,73
Bande dessinée jeunesse,655,L'espoir fait vivre,"Dequier,  Bruno",48,2234,59
Bande dessinée jeunesse,571,Ca épate les filles...,Zep,43,3362,59
Bande dessinée jeunesse,555,Naruto. 23,"Kishimoto,  Masashi ; [traduit et adapté en français par Sébastien Bigini]",44,3732,60
Bande dessinée jeunesse,552,La fête de Yuei commence !,"Horikoshi,  K?hei",49,1489,56
Bande dessinée jeunesse,1222,Max et Lili disent que c'est pas de leur faute,"Saint-Mars,  Dominique de",50,4163,119
DVD jeunesse,623,Coco,,53,2471,63
Bande dessinée jeunesse,1602,A la pêche aux nouilles !,Mr Tan,54,5199,117
Bande dessinée jeunesse,903,Astérix aux Jeux Olympiques,"Goscinny,  René",53,5224,79
Bande dessinée jeunesse,642,Naruto. 13,"Kishimoto,  Masashi",46,3984,62
Bande dessinée jeunesse,606,Et que ça saute !,"Cohen,  Jacqueline",27,3498,43
Bande dessinée jeunesse,874,Lili se dispute avec son frère,"Saint-Mars,  Dominique de",48,5118,78
Livre jeunesse,718,Ca fait suer ! : guide de survie en milieu hostile,"Kinney,  Jeff",50,3329,70
Bande dessinée jeunesse,664,The promised neverland. 2,"Shirai,  Kaiu",52,2340,58
Bande dessinée jeunesse,794,Lili ne veut pas se coucher,"Saint-Mars,  Dominique de",42,4644,76
Bande dessinée jeunesse,669,Naruto. 27,"Kishimoto,  Masashi",44,3884,58
Bande dessinée jeunesse,622,L'Homo sapin,"Coppée,  Thierry",41,1464,45
Bande dessinée adulte,559,La jeune femme et la mer,"Meurisse,  Catherine",45,784,45
Bande dessinée adulte,725,Astérix et la rentrée gauloise : Goscinny et Uderzo,"Goscinny,  René",37,3554,54
Bande dessinée jeunesse,581,La lutte des classes,"Godi,  Bernard",30,3326,41
Bande dessinée jeunesse,572,Fairy Tail. 4,"Mashima,  Hiro",41,3239,49
Bande dessinée jeunesse,799,Attention tornade,"Cazenove,  Christophe",42,2366,56
Bande dessinée jeunesse,614,Naruto. 40,"Kishimoto,  Masashi",44,2952,57
Bande dessinée jeunesse,1031,Fallait pas me chercher !,"Cazenove,  Christophe",50,2255,70
Bande dessinée jeunesse,823,Max et Lili veulent tout savoir sur les bébés,"Saint-Mars,  Dominique de",41,4249,75
Bande dessinée jeunesse,690,Luxure,"Sobral,  Patrick",49,1521,56
Livre adulte,684,Yoga,"Carrère,  Emmanuel",52,1394,70
Bande dessinée jeunesse,606,Pizza tomik,"Guibert,  Emmanuel",35,1918,45
Bande dessinée jeunesse,581,My hero academia. 17. Le million,"Horikoshi,  K?hei",50,1903,61
Bande dessinée jeunesse,912,Mortebouse,"Neel,  Julien",53,5663,88
Bande dessinée jeunesse,654,My hero academia. 12,"Horikoshi,  K?hei",51,2514,62
Bande dessinée jeunesse,590,Aller-retour,"Abouet,  Marguerite",50,1678,62
Bande dessinée adulte,738,Les cahiers d'Esther. 6. Histoires de mes 15 ans,"Sattouf,  Riad",59,1425,63
Bande dessinée jeunesse,654,L'étoile mystérieuse,Hergé,54,5022,74
Bande dessinée jeunesse,943,Max se sent seul,"Saint-Mars,  Dominique de",49,2254,91
Bande dessinée jeunesse,642,La loi du préau,Zep,45,3869,71
Livre adulte,584,La carte postale : roman,"Berest,  Anne",44,1038,49
Bande dessinée jeunesse,1012,Quelle chouchoute !,"Maury,  William",46,4395,70
Bande dessinée jeunesse,600,"Chi, une vie de chat. 3","Konami,  K.",43,3446,56
Bande dessinée jeunesse,837,Max ne respecte rien,"Saint-Mars,  Dominique de",38,4448,70
Bande dessinée jeunesse,738,Max ne pense qu'au zizi,"Saint-Mars,  Dominique de",36,3122,61
Bande dessinée jeunesse,549,One Piece : édition originale. 81. A la rencontre de Maître Chavipère,"Oda,  Eiichir?",46,2403,54
Bande dessinée jeunesse,932,Les Légendaires. 19. World without : Artémus le Légendaire,"Sobral,  Patrick",48,2528,68
Bande dessinée jeunesse,787,Le savant fou rire,"Coppée,  Thierry",47,2596,63
Bande dessinée jeunesse,553,La grande courtisane Komurasaki,"Oda,  Eiichir?",46,1398,55
Bande dessinée jeunesse,563,Des premières neiges aux Perséides,"Chamblain,  Joris",48,2363,55
Bande dessinée jeunesse,1155,Max et Lili veulent se débrouiller seuls,"Saint-Mars,  Dominique de",50,2080,95
Bande dessinée jeunesse,1009,Le menhir d'or,"Goscinny,  René",60,2217,80
Bande dessinée jeunesse,819,Tom-Tom et l'impossible Nana,"Cohen,  Jacqueline",33,5832,66
Bande dessinée jeunesse,620,#Révisions,"Horikoshi,  K?hei",49,2202,55
Bande dessinée jeunesse,596,Avarice,"Ogaki,  Philippe",48,959,55
Bande dessinée jeunesse,592,La quatrième dimension et demie,"Vehlmann,  Fabien",51,4833,63
Bande dessinée jeunesse,777,Lili veut de l'argent de poche,"Saint-Mars,  Dominique de",37,2997,61
Livre jeunesse,668,Le grand bain,"Kinney,  Jeff",52,1406,59
Bande dessinée jeunesse,588,Full métal casquette,Midam,39,2790,50
Bande dessinée jeunesse,551,Super furax,Bertschy,42,1113,43
Bande dessinée jeunesse,599,Madame Minuscule,"Fraipont,  Céline",42,2587,51
Bande dessinée jeunesse,593,La terre sainte de Marie Joie,"Oda,  Eiichir?",46,1729,53
Bande dessinée jeunesse,865,La maison de Max et Lili a été cambriolée,"Saint-Mars,  Dominique de",39,3765,64
Bande dessinée jeunesse,726,Les bijoux de la Castafiore,Hergé,54,5280,79
Bande dessinée jeunesse,665,Abigail,"Sobral,  Patrick",49,2148,57
Bande dessinée jeunesse,561,In-cu-ra-ble !,Zidrou,33,1848,42
Bande dessinée jeunesse,832,Le tonton de Max et Lili est en prison,"Saint-Mars,  Dominique de",39,3141,62
Bande dessinée jeunesse,654,"Poux, papous et pas papous","Cohen,  Jacqueline",28,4466,51
Bande dessinée jeunesse,581,"Le seul, l'unique","Pujol,  Romain",39,1673,43
Bande dessinée jeunesse,988,Père à tout faire,Nob,50,2231,65
Bande dessinée jeunesse,799,Le chien de Max et Lili est mort,"Saint-Mars,  Dominique de",42,4389,70
Bande dessinée jeunesse,662,Sardine de l'espace. 10. La reine de l'Afripe,"Guibert,  Emmanuel",35,3352,49
Livre jeunesse,616,Sauve qui peut !,"Kinney,  Jeff",50,2459,63
Livre jeunesse,861,Lili n'aime que les frites,"Saint-Mars,  Dominique de",44,4334,74
Bande dessinée jeunesse,983,Les sisters. 13. Kro d'la chance !,"Cazenove,  Christophe",48,2367,68
Bande dessinée jeunesse,942,Le chevalier cheval,"Guibert,  Emmanuel",43,2848,69
Bande dessinée jeunesse,876,Max et Lili fêtent Noël en famille,"Saint-Mars,  Dominique de",44,4220,75
Bande dessinée jeunesse,686,Lou ! Sonata. 1,"Neel,  Julien",47,1564,53
Bande dessinée jeunesse,576,Une élève presque parfaite,"Bloch,  Serge",45,1692,48
Livre adulte,558,Le mur des silences,Arnaldur Indriðason,50,739,52
Livre jeunesse,551,Et si ?,"Haughton,  Chris",55,953,74
Bande dessinée jeunesse,862,Dad. 2. Secrets de famille,Nob,49,2774,66
Bande dessinée jeunesse,752,Lili découvre sa Mamie,"Saint-Mars,  Dominique de",37,4841,62
Livre jeunesse,649,Rodrick fait sa loi,"Kinney,  Jeff",52,2838,72
Bande dessinée jeunesse,647,Les Schtroumpfs de l'ordre,,29,2972,39
Bande dessinée jeunesse,779,Max et Lili se posent des questions sur Dieu,"Saint-Mars,  Dominique de",48,4823,87
Bande dessinée jeunesse,696,Parvati,"Ogaki,  Philippe",49,2616,61
Bande dessinée jeunesse,618,Naruto. 37,"Kishimoto,  Masashi",40,3874,53
Bande dessinée ado,701,Kaiju n 8. 1,"Matsumoto,  Naoya",44,769,57
Bande dessinée jeunesse,903,Je savais que je te rencontrerais,"Lyfoung,  Patricia",50,4584,75
Bande dessinée jeunesse,885,Max et Lili ont volé des bonbons,"Saint-Mars,  Dominique de",42,5404,76
Bande dessinée adulte,749,"Une jeunesse au Moyen-Orient, 1987-1992","Sattouf,  Riad",51,2980,67
Bande dessinée jeunesse,951,Oohiohioo !,"Didier,  Anne",43,2995,68
Bande dessinée jeunesse,599,Comet Girl. 1,"Akase,  Yuriko",40,309,50
Bande dessinée jeunesse,1134,Naphtaline nous dit toutou,"Guibert,  Emmanuel",53,2548,81
Bande dessinée jeunesse,711,Les premiers de la casse,"Cohen,  Jacqueline",31,4548,56
Bande dessinée jeunesse,843,Dad. 1. Filles à papa,Nob,51,3552,64
Bande dessinée jeunesse,745,Souvenirs d'Ecosse. 1,"Lyfoung,  Patricia",48,1894,58
Bande dessinée jeunesse,603,Le sot à ski,"Coppée,  Thierry",39,3357,53
Bande dessinée jeunesse,561,Mon meilleur ami,"Verron,  Laurent",35,4662,47
Bande dessinée jeunesse,554,One Piece : édition originale. 75. Ma gratitude,"Oda,  Eiichir?",46,2815,57
Bande dessinée jeunesse,959,Les légendaires : Les origines. 03. Gryfenfer,"Sobral,  Patrick",48,3420,65
Bande dessinée jeunesse,616,L'atelier des sorciers. 1,"Shirahama,  Kamome",54,2116,64
Jeux de société prêtable,791,Croque-carotte :,,10,1007,13
Bande dessinée ado,666,Pour qui tu te prends ?,Delaf,39,2439,55
Bande dessinée jeunesse,553,Premier de la classe (en commençant par la fin),"Godi,  Bernard",28,2197,37
Bande dessinée jeunesse,930,Les cicatrices du monde,"Sobral,  Patrick",44,1262,55
Bande dessinée jeunesse,783,Astérix chez Rahàzade : ou le compte des mille et une heures,"Uderzo,  Albert",46,4059,70
Bande dessinée adulte,624,Les cigares du pharaon,Hergé,55,3760,69
Bande dessinée jeunesse,589,L'atelier des sorciers. 2,"Shirahama,  Kamome",52,2001,55
Bande dessinée jeunesse,1187,Max croit n'importe quoi,"Saint-Mars,  Dominique de",48,1845,97
Livre adulte,673,Paris-Briançon : roman,"Besson,  Philippe",49,892,53
Bande dessinée jeunesse,1018,Lili est fâchée avec sa copine,"Saint-Mars,  Dominique de",50,6065,96
Bande dessinée jeunesse,827,Max est racketté,"Saint-Mars,  Dominique de",42,3818,71
Bande dessinée jeunesse,686,Lili se trouve moche,"Saint-Mars,  Dominique de",37,3954,68
Livre adulte,652,Le pays des autres : roman,"Slimani,  Leïla",52,1370,59
Bande dessinée jeunesse,716,Tattoo compris,Midam,50,1013,57
Bande dessinée jeunesse,559,Peut mieux faire !,"Godi,  Bernard",30,2907,35
Bande dessinée jeunesse,1035,Obélix et compagnie,"Goscinny,  René",53,5425,77
Bande dessinée jeunesse,688,Naruto. 8,"Kishimoto,  Masashi",42,3864,62
Bande dessinée ado,558,One-punch man. 1,"Murata,  Yusuke",45,2722,49
Livre adulte,583,Connemara : roman,"Mathieu,  Nicolas",54,989,62
Bande dessinée jeunesse,687,Le spectre de la Bastille. 1,"Lyfoung,  Patricia",44,3250,56
Bande dessinée jeunesse,751,Rodéo Blork,Midam,40,4181,56
Bande dessinée jeunesse,612,Naruto. 72,"Kishimoto,  Masashi",43,2589,59
Bande dessinée jeunesse,722,Yuko,"Sobral,  Patrick",48,2452,60
Bande dessinée jeunesse,612,My hero academia. 15. Lutte contre le destin,"Horikoshi,  K?hei",46,2053,56
