id,adresse,code_postal,commune,nature_operation,responsable_operation,date_operation,protohistoire,antiquite,moyen_age,temps_modernes,epoque_contemporaine,synthese,x,y,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_point_2d.lon,geo_point_2d.lat
1474,2w rue de Médicis,75006,Paris,Découverte ancienne,,1953,Non,Non,Non,Non,Non,Il est fait mention (sur un plan de 1973) de la découverte de deux murs en 1953 dans les jardins du Luxembourg. La datation de ces vestiges est indéterminée.,651460.033,6861033.01,Feature,"[2.338563528236437, 48.847511598805134]",Point,2.338563528236437,48.847511598805134
74,4 rue Pierre et Marie Curie,75005,Paris,Suivi de travaux,Magne Charles,1910,Non,Oui,Non,Non,Non,"A l'occasion de la construction d'immeubles formant l'alignement de la nouvelle rue en 1910, Ch. Magne mentionne des niveaux antiques. Beaucoup ont été découverts dans des puits de fondations, ce qui semble indiquer que ces constructions n'ont pas complètement détruit les niveaux en place. C'est d'ailleurs ce que démontre la fouille effectuée au n° 12 de la rue par S. Robin (cf. notice suivante). Au n° 22, dans un puits de fondations, a été découvert un crâne humain isolé « dans le remblai romain ». Dans un autre puits de fondations, à -2,20 m, a été mise au jour une amphore de terre blanche presque complète (haut. 65 cm ; diam. à la panse : 36 cm).
Aux n° 16 et 18, ont été recueillis des tessons de sigillée avec estampilles Licn et Primi.
Aux n° 8-10 et 12, Ch. Magne signale dans les sables de Beauchamp des excavations en galerie, repérées par puits. Hauteur moyenne : 2 m, base de la galerie vers - 8 m. Elles sont interprétées par le fouilleur comme des extractions de potiers (voir la fouille du n° 14).
Au n° 12, auraient été découvertes quatre monnaies antiques:  deux de Néron, une de Domitien et la dernière de Constantin.
Ch. Magne propose une stratigraphie générale. Les « remblais romains » apparaissent vers - 1,50 m et ont une épaisseur moyenne de 2,60 à 3 m, d'après les relevés stratigraphiques de certains puits. le terrain en place aurait une légère pente d'est en ouest allant de la cote 52.50 au n° 22 à la cote 54.00 au n° 8.
La même année, lors de la construction de l'« Institut de chimie », dix pesons de tisserand en pierre, datés de l'époque gallo-romaine, ont été découverts.",651910.832,6860693.56,Feature,"[2.344744502473628, 48.84449272307957]",Point,2.344744502473628,48.84449272307957
2144,8 rue Baillet,75001,Paris,Découverte ancienne,Vacquer Théodore,1891,Non,Non,Oui,Non,Non,"En juin 1891, Th. Vacquer rapporte la découverte de sarcophages en plâtre lors de la fouille d'une maison.",651751.826,6862402.53,Feature,"[2.342384084353507, 48.859849462996436]",Point,2.342384084353507,48.85984946299644
2189,1 place du Châtelet,75001,Paris,Découverte ancienne,Vacquer Théodore,1855-1861,Non,Non,Oui,Non,Non,"A l'occasion de travaux d'égoût menés en 1855 sur la  Place du Châtelet, Th. Vacquer met au jour les restes d'une arche et de deux piles de pont, qu'il date du règne de Charles le Chauve. Ces vestiges constitueraient le premier état de l'actuel Pont au Change.
Il a l'occasion de les observer à nouveau lors d'une deuxième campagne de travaux en 1861.",652070.678,6862151.29,Feature,"[2.3467581215100473, 48.85761396469893]",Point,2.3467581215100477,48.85761396469893
69,1 rue de Bazeilles,75005,Paris,Découverte ancienne,Magne Charles,1912,Non,Non,Oui,Oui,Non,"Un ancien pavage, fragment de la voie romaine de Lutèce à Lugdunum, a été mis au jour en 1912, lors de travaux pour l'amélioration générale du réseau d'eau de rivière. Il était formé de pavés de grès liés par un mortier très désagrégé ; ils reposaient sur une couche de béton très dur et très homogène, composé de cailloux et de pierres concassées, noyés dans un mortier de chaux et de sable. Ces travaux ont aussi permis la découverte de l'ancien pavage de la rue Mouffetard avant la création de la rue de Bazeilles (XIXe siècle); ainsi que de vestiges du pont aux Tripes sur le canal de dérivation de la Bièvre (XIIe siècle) : ce pont était formé d'une voûte en plein cintre reposant sur deux forts murs de soutènement, débordant de part et d'autre de cette voûte ; le tout construit en moellons appareillés et hourdés au mortier de chaux. Les remblais qui recouvraient les murs jusqu'à la naissance de la voûte contenaient de la céramique flammulées (XIIe-XIIIe siècles).",652315.816,6860108.32,Feature,"[2.3503281093191677, 48.83925977809691]",Point,2.350328109319168,48.83925977809691
268,1 place Jussieu,75005,Paris,Découverte ancienne,Grimault Prudent Aimé,1931,Non,Non,Oui,Oui,Non,"En 1931, des aménagements de la place Jussieu, liés notamment à la construction de la ligne 7 du métropolitain, ont permis la découverte de deux sarcophages de plâtre dont l'un portait un décor qui a conduit A. Grimault à dater ces sarcophages de l'époque mérovingienne. Ces travaux ont également permis la reconnaissance de vestiges de l'église de l'abbaye de Saint-Victor (XVIe siècle), notamment deux fragments de l'ancien carrelage de l'abbaye. 
La même année, une trentaine de squelettes ont été découverts lors de l'établissement d'un regard et d'un branchement d'égout, sous le terre-plein de la rue Jussieu. Les individus étaient superposés, peut-être au sein d'une même fosse: A. Grimault parle en effet d'une « sépulture collective» dans son rapport mais il est aussi probable que les fosses individuelles n'aient pas été perçues à la fouille en raison de la densité des inhumations. De nombreux squelettes de la partie supérieure étaient accompagnés de céramiques flammulées (XIIIe siècle?), placés à proximité du crâne et parfois remplies en partie de charbons de bois; ceux de la partie inférieure semblaient plus anciens comme en témoigne le dépôt d'une pièce de monnaie du Ier siècle av. J.-C. dans la bouche d'un individu mis au jour sur le substrat (obole à Charon).
Trois sarcophages de pierre ont en outre été découverts dans la crypte de l'église abbatiale de Saint-Victor en 1931, lors de fouilles dans les caves de l'entrepôt Saint-Bernard. De forme légèrement trapézoïdale, ces cuves possédaient encore leur couvercle. Elles pourraient dater du XIIe  siècle ou fonctionner avec la première chapelle plus précoce. 
Enfin, des vestiges de la seconde église abbatiale de Saint-Victor, construite à partir de 1517 et démolie à la Révolution, ont été découverts dans les caves de l'entrepôt Saint-Bernard: il s'agit des fondations du mur est du choeur et d'un mur rectiligne, de la fondation d'un des piliers du choeur et de fragments d'enduit.",652674.222,6860870.9,Feature,"[2.355126134710843, 48.84614410512825]",Point,2.355126134710843,48.84614410512825
1102,6 place Paul Painlevé,75005,Paris,Étude documentaire,Celly Paul,2012,Non,Non,Non,Non,Non,"Cette étude d'impact archéologique a été commandée par l'Opérateur du Patrimoine et des Projets Immobiliers de la Culture (OPPIC). Elle est motivée par le projet dit ""Cluny 4"" tel qu'il est défini par le schéma directeur de l'Architecte en Chef des Monuments Historiques, Paul Barnoud. Ce programme prévoit notamment la construction d'une salle d'accueil au-dessus du caldarium L et de la salle O des thermes.
Pour mener à bien ce bilan documentaire critique, toutes les sources archéologiques disponibles ont été utilisées : les mentions des premières découvertes effectuées au XIXe siècle, les fouilles et les diagnostics de la seconde moitié du XXe siècle, mais aussi des études commandées à l'occasion des projets précédents du musée comme des recherches en archives ou des campagnes de relevés.
Le but étant de rassembler l'essentiel des données afin d'estimer l'épaisseur et la nature des sédiments conservés. Bien que centrées sur les zones d'emprise du schéma directeur, les recherches ont été étendues à l'ensemble du bâtiment permettant d'anticiper sur de futurs projets",651856.689,6861343.35,Feature,"[2.343933229841042, 48.850332260063155]",Point,2.343933229841042,48.85033226006316
2159,174 rue Saint-Jacques,75005,Paris,Découverte ancienne,Vacquer Théodore,,Non,Oui,Non,Non,Non,"À une date non précisée, Th. Vacquer mentionne la découverte dans la tranchée de la rue Saint-jacques, d'une statuette en bronze représentant Mercure. Cette statuette ne fait pas partie de la collection du musée Carnavalet.",651788.29,6860920.29,Feature,"[2.3430491383519505, 48.846522582334565]",Point,2.3430491383519505,48.846522582334565
15,6b rue de l'Abbaye,75006,Paris,Découverte ancienne,Magne Charles,1912,Non,Non,Oui,Non,Non,"Des travaux de terrassement entrepris en 1912, pour la construction d'une maison, entraînèrent la découverte d'un sarcophage de pierre de forme trapézoïdale, orienté est-ouest et recouvert d'une dalle monolithe, sans mobilier funéraire. Non loin se trouvait un sarcophage de plâtre qui ne possédait plus de couvercle.
Une monnaie d'or mérovingienne fut recueillie à proximité immédiate d'une sépulture. La pièce, intacte, portait mention de la ville de Convenae (Saint-Bertrand-de-Comminges), prouvant ainsi que la ville, détruite en 585 par l'armée de Gontran pour avoir donné asile au prétendant Gondovald, ne tarda pas à être réédifiée.
Des vestiges de la chapelle de la Vierge de l'abbaye de Saint-Germain-des-Prés (XIIIe siècle) furent mis en évidence, notamment les fondations des deux murs latéraux de la nef ainsi que des éléments architecturaux moulurés.",651230.542,6861771.97,Feature,"[2.335351728852527, 48.8541397177817]",Point,2.335351728852527,48.8541397177817
1335,64 rue des Ecoles,75005,Paris,Découverte ancienne,Magne Charles,1884,Non,Oui,Non,Non,Non,Ch. Magne mentionne des découvertes qu'il aurait faites en 1884 mais dont l'authenticité est contestée.,651785.715,6861340.86,Feature,"[2.342966367630501, 48.85030456949632]",Point,2.342966367630501,48.85030456949632
184,1 boulevard du Temple,75003,Paris,,,1924,Non,Non,Oui,Non,Non,Vieilles maçonneries (fondations d'anciennes maisons du boulevard du Temple).,653520.284,6862752.84,Feature,"[2.3664485587251893, 48.863129791195924]",Point,2.3664485587251893,48.86312979119592
