rang,type_de_document,reservations,titre,auteur
154,DVD tous publics,159.0,Nomadland,
223,Livre adulte,129.0,Le code Rousseau de la route : édition 2022,
616,Bande dessinée adulte,75.0,The promised Neverland. 19,"Shirai,  Kaiu"
802,Bande dessinée jeunesse,64.0,Secrets d'amour,Béka
937,Bande dessinée ado,59.0,Naruto. 46,"Kishimoto,  Masashi"
982,Bande dessinée jeunesse,56.0,World without : la bataille du néant,"Sobral,  Patrick"
532,Bande dessinée jeunesse,82.0,Sang royal,"Sobral,  Patrick"
578,Bande dessinée jeunesse,78.0,The promised Neverland. 17,"Shirai,  Kaiu"
588,Bande dessinée ado,78.0,Fairy Tail. 4,"Mashima,  Hiro"
651,Nouveauté,72.0,L'atelier des sorciers. 4,"Shirahama,  Kamome"
923,Livre adulte,59.0,Le coût de la vie,"Levy,  Deborah"
24,Bande dessinée adulte,408.0,Spy x Family. 5,"End?,  Tatsuya"
486,DVD tous publics,86.0,Goliath,
540,Bande dessinée ado,81.0,Les carnets de l'apothicaire. 5,"Nanao,  Itsuki"
648,Nouveauté,72.0,Ces jours qui disparaissent,"Le Boucher,  Timothé"
463,Livre adulte,88.0,La ligne de nage,"Otsuka,  Julie"
468,Livre adulte,87.0,Le génie lesbien,"Coffin,  Alice"
852,Bande dessinée jeunesse,62.0,One Piece. 45. Je comprends ce que vous ressentez,"Oda,  Eiichiro"
993,DVD nouveautés tous publics,56.0,Memoria,
138,Livre jeunesse,170.0,Parents à vendre,Mr Tan
177,Livre adulte,150.0,L'énigme de la chambre 622 : roman,"Dicker,  Joël"
401,Livre adulte,94.0,Tout le bleu du ciel,"Da Costa,  Mélissa"
104,Livre adulte,196.0,L'inconnue de la Seine,"Musso,  Guillaume"
211,Nouveauté,133.0,En salle : roman,"Baglin,  Claire"
694,DVD tous publics,70.0,À l'ombre des filles,
134,Bande dessinée jeunesse,172.0,La rentrée des claques,Mr Tan
812,Bande dessinée adulte,64.0,Les pizzlys,"Moreau,  Jérémie"
78,Bande dessinée adulte,237.0,Les cahiers d'Esther. 4. Histoires de mes 13 ans,"Sattouf,  Riad"
510,DVD nouveautés tous publics,84.0,La  ruse,
653,Bande dessinée adulte,72.0,Les amants d'Hérouville : une histoire vraie,"Le Quellec,  Yann"
706,Bande dessinée jeunesse,69.0,Lou ! Sonata. 1,"Neel,  Julien"
796,Bande dessinée jeunesse,65.0,One Piece. 72. Les oubliés de Dressrosa,"Oda,  Eiichiro"
26,Bande dessinée adulte,394.0,"L'Arabe du futur. 2. Une jeunesse au Moyen-Orient, 1984-1985","Sattouf,  Riad"
171,Livre adulte,151.0,Yoga,"Carrère,  Emmanuel"
346,Bande dessinée jeunesse,101.0,Un secret,"Oseman,  Alice"
549,Nouveauté,80.0,Jujutsu kaisen. 1. Ryomen Sukuna,"Akutami,  Gege"
717,Bande dessinée jeunesse,69.0,Ça va dégominer !,"Didier,  Anne"
275,Nouveauté,114.0,Madame Hayat,"Altan,  Ahmet"
296,Bande dessinée ado,109.0,Naruto. 13,"Kishimoto,  Masashi"
564,Livre ado,79.0,Le roi maléfique,"Black,  Holly"
864,Bande dessinée jeunesse,61.0,Les amours de Cassiopée,"Di Gregorio,  Giovanni"
185,Bande dessinée ado,145.0,Naruto. 3,"Kishimoto,  Masashi"
474,DVD nouveautés tous publics,87.0,Jungle cruise,
731,,68.0,Arpenter la nuit : roman,"Mottley,  Leila"
909,Livre adulte,60.0,Toute une moitié du monde,"Zeniter,  Alice"
676,Bande dessinée jeunesse,71.0,One Piece. 65. Table rase,"Oda,  Eiichiro"
497,Nouveauté jeunesse,84.0,My hero academia. 13,"Horikoshi,  K?hei"
27,Bande dessinée adulte,386.0,"Une jeunesse au Moyen-Orient, 1987-1992","Sattouf,  Riad"
150,Livre adulte,162.0,Angélique,"Musso,  Guillaume"
274,Livre adulte,114.0,Père riche père pauvre  : ce que les gens riches enseignent à leurs enfants à propos de l'argent et ce que ne font pas les gens pauvres et de la classe moyenne!,"Kiyosaki,  Robert T."
299,Livre adulte,108.0,Sa préférée : roman,"Jollien-Fardel,  Sarah"
315,DVD nouveautés tous publics,105.0,Un autre monde,
615,Instrument de musique ou Console de jeu,75.0,Console Switch Lite : indés,
763,,66.0,L'atelier des sorciers. 9,"Shirahama,  Kamome"
943,,58.0,One Piece : édition originale. 89,"Oda,  Eiichir?"
556,Livre adulte,80.0,L'été où tout a fondu : roman,"McDaniel,  Tiffany"
563,,79.0,The promised Neverland. 11,"Shirai,  Kaiu"
390,Nouveauté,96.0,Il n'y a pas de Ajar : monologue contre l'identité,"Horvilleur,  Delphine"
43,Livre adulte,320.0,Etre à sa place,"Marin,  Claire"
432,Nouveauté,90.0,The promised neverland. 7,"Shirai,  Kaiu"
478,Bande dessinée jeunesse,86.0,Shimy,"Sobral,  Patrick"
916,Bande dessinée ado,60.0,Naruto. 29,"Kishimoto,  Masashi"
938,Bande dessinée jeunesse,59.0,Naruto. 55,"Kishimoto,  Masashi"
991,Livre adulte,56.0,La gardienne de Mona Lisa : une enquête d'Enzo Macleod,"May,  Peter"
37,DVD tous publics,337.0,Dune,
159,Livre adulte,158.0,Noa,"Lévy,  Marc"
691,Livre adulte,70.0,Un miracle : roman,"Mas,  Victoria"
718,,69.0,Si seulement...,"Dequier,  Bruno"
949,Nouveauté,58.0,Solo leveling. 3,Chugong
411,DVD tous publics,93.0,Une jeune fille qui va bien,
704,Bande dessinée jeunesse,69.0,"Ex, drague et rock'n'roll !","Dubuc,  Maryse"
728,DVD tous publics,68.0,Chère Léa,
225,Bande dessinée jeunesse,129.0,Le plus grand bandit d'East Blue,"Oda,  Eiichiro"
392,Bande dessinée ado,96.0,Aux prises avec baggy et ses hommes !,"Oda,  Eiichiro"
491,Livre jeunesse,85.0,Harry Potter à l'école des sorciers,"Rowling,  J.K."
678,Livre adulte,70.0,Les mots sont des fenêtres (ou bien ce sont des murs) : introduction à la communication non violente,"Rosenberg,  Marshall B."
854,Bande dessinée jeunesse,61.0,Dad. 2. Secrets de famille,Nob
253,Nouveauté,120.0,Mémoire de fille,"Ernaux,  Annie"
584,Livre adulte,78.0,Indépendance,"Cercas,  Javier"
749,Bande dessinée jeunesse,67.0,Show bizarre !,Mr Tan
915,DVD tous publics,60.0,Avatar,
120,Bande dessinée adulte,180.0,"Ecoute, jolie Marcia","Quintanilha,  Marcello"
239,Bande dessinée jeunesse,126.0,"OK, let's stand up !","Oda,  Eiichiro"
738,Livre jeunesse,67.0,Gardiens des cités perdues. 1,"Messenger,  Shannon"
385,Bande dessinée jeunesse,96.0,L'escalade,Dugomier
888,Bande dessinée jeunesse,60.0,Trop la classe !,"Didier,  Anne"
945,Nouveauté,58.0,Croire aux fauves,"Martin,  Nastassja"
19,Bande dessinée jeunesse,458.0,Spy x Family. 2,"End?,  Tatsuya"
184,,146.0,Notre otage à Acapulco,"Rufin,  Jean-Christophe"
354,Bande dessinée jeunesse,101.0,Droit devant !!,"Oda,  Eiichiro"
438,Bande dessinée ado,90.0,Fairy Tail. 1,"Mashima,  Hiro"
465,Bande dessinée jeunesse,88.0,Et ainsi débuta la légende,"Oda,  Eiichiro"
689,Livre adulte,70.0,La maison,"McDowell,  Michael"
703,Nouveauté jeunesse,69.0,#Révisions,"Horikoshi,  K?hei"
197,,137.0,L'odyssée d'Hakim. 3. De la Macédoine à la France,"Toulmé,  Fabien"
421,DVD nouveautés tous publics,92.0,The King's man : Première mission,
699,Bande dessinée jeunesse,69.0,Naruto. 70,"Kishimoto,  Masashi"
884,Bande dessinée jeunesse,60.0,One Piece. 74. Je serai toujours à tes côtés,"Oda,  Eiichiro"
965,Livre adulte,57.0,L'enfer numérique : voyage au bout d'un like,"Pitron,  Guillaume"
528,,82.0,Consolations : celles que l'on reçoit et celles que l'on donne,"André,  Christophe"
649,Livre Fonds spécialisés,72.0,Retour à Lemberg,"Sands,  Philippe"
742,Livre adulte,67.0,Canaries,"Corne,  Lucy"
192,Livre adulte,140.0,Il nous restera ça,"Grimaldi,  Virginie"
220,Bande dessinée adulte,131.0,Les sentiments du prince Charles,"Strömquist,  Liv"
886,Bande dessinée jeunesse,60.0,One Piece : édition originale. 84,"Oda,  Eiichir?"
499,Nouveauté,84.0,The promised neverland. 6,"Shirai,  Kaiu"
335,Bande dessinée ado,103.0,Naruto. 9,"Kishimoto,  Masashi"
872,CD adulte,61.0,Saint-Clair,"Biolay,  Benjamin"
903,Bande dessinée adulte,60.0,Voleuse,"Bryon,  Lucie"
312,Livre adulte,105.0,Pas dormir,"Darrieussecq,  Marie"
186,,144.0,Prout atomique,Mr Tan
660,Bande dessinée ado,72.0,Naruto. 42,"Kishimoto,  Masashi"
314,Nouveauté,105.0,Azincourt par temps de pluie,"Teulé,  Jean"
96,Livre adulte,208.0,Trouver ma place : 22 protocoles pour accéder au bonheur,"Calestrémé,  Natacha"
395,Bande dessinée jeunesse,95.0,My hero academia. 11. La fin du commencement et le commencement de la fin,"Horikoshi,  K?hei"
466,Bande dessinée jeunesse,87.0,My hero academia. 10. #All for one,"Horikoshi,  K?hei"
746,,67.0,Le souffle du mal,"Sutherland,  Tui"
875,Livre adulte,61.0,Londres,"Céline,  Louis-Ferdinand"
894,Livre adulte,60.0,"Italie du Sud : Naples, côte amalfitaine, Pouilles : 2021-2022","Gloaguen,  Philippe"
102,Livre adulte,200.0,Les grandes oubliées : pourquoi l'histoire a effacé les femmes,"Lecoq,  Titiou"
262,Bande dessinée jeunesse,118.0,My hero academia. 4. Celui qui avait tout,"Horikoshi,  Kohei"
446,DVD nouveautés tous publics,89.0,Eugénie Grandet,
801,Bande dessinée jeunesse,64.0,Blue lock. 1,"Kaneshiro,  Muneyuki"
157,Bande dessinée adulte,158.0,Dans le palais des miroirs,"Strömquist,  Liv"
506,Livre adulte,84.0,Ne t'arrête pas de courir,"Palain,  Mathieu"
948,Livre adulte,58.0,Viendra le temps du feu,"Delorme,  Wendy"
950,Bande dessinée jeunesse,58.0,Cap ou pas cap ?,"Cazenove,  Christophe"
522,Bande dessinée jeunesse,83.0,Naruto. 15,"Kishimoto,  Masashi"
598,Bande dessinée jeunesse,76.0,Demon slayer : Kimetsu no yaiba. 18,"Gotouge,  Koyoharu"
164,Livre adulte,155.0,King Kong théorie,"Despentes,  Virginie"
663,Livre ado,71.0,Jamais plus,"Hoover,  Colleen"
825,,63.0,L'Italie en train,Tournebize
922,Bande dessinée adulte,59.0,Débutante,"Dupré La Tour,  Florence"
155,Bande dessinée jeunesse,158.0,Big bisous baveux,Mr Tan
358,Livre adulte,100.0,Les promises : roman,"Grangé,  Jean-Christophe"
36,Nouveauté,338.0,Le livre des soeurs : roman,"Nothomb,  Amélie"
453,Bande dessinée ado,89.0,J'irai voir Venise,"Lyfoung,  Patricia"
769,Bande dessinée ado,66.0,Naruto. 21,"Kishimoto,  Masashi"
54,Bande dessinée adulte,289.0,La jeune femme et la mer,"Meurisse,  Catherine"
544,,81.0,Les Légendaires. 14. L'héritage du mal,"Sobral,  Patrick"
23,,426.0,Spy x Family. 4,"End?,  Tatsuya"
196,Livre adulte,138.0,Le pouvoir rhétorique : apprendre à convaincre et à décrypter les discours,"Viktorovitch,  Clément"
309,Livre adulte,106.0,Le fantôme du Vicaire : roman,"Fouassier,  Éric"
574,Bande dessinée jeunesse,79.0,Les Légendaires. 16. L'éternité ne dure qu'un temps,"Sobral,  Patrick"
790,Livre adulte,65.0,La promesse de l'aube,"Gary,  Romain"
818,Nouveauté jeunesse,63.0,Red riot,"Horikoshi,  K?hei"
105,DVD nouveautés tous publics,196.0,Les  Olympiades,
126,Nouveauté,176.0,Tenir sa langue,"Panassenko,  Polina"
723,DVD nouveautés tous publics,68.0,Kaamelott. premier volet,
842,Bande dessinée jeunesse,62.0,Au coeur de mes zoorigines,"Douyé,  Sylvia"
989,Livre adulte,56.0,"Italie du Sud : Naples, côte amalfitaine, Pouilles",
261,Livre adulte,119.0,Le coeur ne cède pas,"Bouillier,  Grégoire"
356,Nouveauté jeunesse,100.0,My hero academia. 9. My hero,"Horikoshi,  Kohei"
959,Bande dessinée jeunesse,57.0,Coeur vanille,"Grisseaux,  Véronique"
998,DVD tous publics,56.0,Coupez !,
258,DVD tous publics,119.0,Drunk,
402,Livre jeunesse,94.0,Réminiscences,"Messenger,  Shannon"
778,Bande dessinée jeunesse,65.0,Ca déménage !,"Didier,  Anne"
856,Bande dessinée jeunesse,61.0,Coeur coco,"Grisseaux,  Véronique"
913,Livre adulte,60.0,"L'intranquille : autoportrait d'un fils, d'un peintre, d'un fou","Garouste,  Gérard"
501,,84.0,The promised neverland. 8,"Shirai,  Kaiu"
977,Bande dessinée jeunesse,56.0,Naruto. 71,"Kishimoto,  Masashi"
69,Bande dessinée adulte,248.0,Les cahiers d'Esther. 3. Histoire de mes 12 ans,"Sattouf,  Riad"
865,Nouveauté,61.0,Une soupe à la grenade,"Mehran,  Marsha"
273,Livre adulte,115.0,La digue : roman,"McDowell,  Michael"
679,Bande dessinée jeunesse,70.0,Chat va bien !,Mr Tan
752,Livre adulte,67.0,La bibliothèque des rêves secrets,"Aoyama,  Michiko"
761,Bande dessinée adulte,66.0,Découvrez vos super pouvoirs !,"Gomez,  Lucile"
13,Bande dessinée adulte,521.0,Le jeune acteur,"Sattouf,  Riad"
14,Bande dessinée adulte,510.0,"Une jeunesse au Moyen-Orient, 1992-1994","Sattouf,  Riad"
855,Nouveauté,61.0,Chanson douce,"Slimani,  Leïla"
816,Livre adulte,63.0,Vernon Subutex : roman. 1,"Despentes,  Virginie"
1000,Bande dessinée ado,56.0,Naruto. 32,"Kishimoto,  Masashi"
140,DVD tous publics,167.0,Le Sommet des dieux,
624,,75.0,Fun Home : une tragicomédie familiale,"Bechdel,  Alison"
861,Bande dessinée jeunesse,61.0,Tomura Shigaraki : les origines,"Horikoshi,  K?hei"
286,,112.0,555,"Gestern,  Hélène"
531,Livre jeunesse,82.0,C'est elle qui a commencé,"Cazenove,  Christophe"
633,Nouveauté,74.0,Reine de coeur,"Mizubayashi,  Akira"
70,Nouveauté,248.0,La familia grande,"Kouchner,  Camille"
142,DVD tous publics,166.0,Nightmare Alley,
341,Bande dessinée adulte,102.0,Jours de sable,"Jongh,  Aimée de"
553,Livre adulte,80.0,Les enfants de la nuit,"Ionesco,  Eva"
566,Nouveauté,79.0,Saint-Elme. 1. La vache brûlée,"Lehman,  Serge"
605,Livre adulte,76.0,Journal de nage,"Thomas,  Chantal"
708,Livre adulte,69.0,Sidérations,"Powers,  Richard"
172,Nouveauté,151.0,Mahmoud ou La montée des eaux : roman,"Wauters,  Antoine"
733,Bande dessinée ado,68.0,Naruto. 31,"Kishimoto,  Masashi"
543,Bande dessinée ado,81.0,Fairy Tail. 2,"Mashima,  Hiro"
595,Bande dessinée jeunesse,76.0,Les nerfs à vif,Nob
597,Livre adulte,76.0,Jouissance club : une cartographie du plaisir,"Plã,  Jüne"
906,DVD nouveautés tous publics,60.0,Red Rocket,
85,Livre adulte,226.0,Les années,"Ernaux,  Annie"
576,Bande dessinée jeunesse,78.0,Demon slayer : Kimetsu no yaiba. 7,"Gotouge,  Koyoharu"
897,Livre adulte,60.0,Au printemps des monstres,"Jaenada,  Philippe"
924,Bande dessinée adulte,59.0,Les carnets de l'apothicaire. 2,"Nanao,  Itsuki"
925,Nouveauté,59.0,L'affaire du ticket scandaleux. 2,"Lieron,  Cyril"
473,Bande dessinée jeunesse,87.0,Game over,"Dequier,  Bruno"
559,Bande dessinée jeunesse,80.0,Oohiohioo !,"Didier,  Anne"
715,Bande dessinée jeunesse,69.0,One Piece. 67. Cool fight,"Oda,  Eiichiro"
794,Bande dessinée jeunesse,65.0,One Piece. 68. Alliance entre pirates,"Oda,  Eiichiro"
440,Nouveauté,89.0,The promised neverland. 2,"Shirai,  Kaiu"
712,Bande dessinée adulte,69.0,Vernon Subutex. 2,"Despentes,  Virginie"
826,Nouveauté,63.0,Bug. 3,"Bilal,  Enki"
52,DVD tous publics,292.0,Mourir peut attendre,
359,Bande dessinée adulte,100.0,Un départ vers la fin,"Bravo,  Émile"
310,Nouveauté,106.0,Dernier week-end de janvier,"Vivès,  Bastien"
125,DVD nouveautés tous publics,177.0,West Side Story,
136,,170.0,Etés anglais,"Howard,  Elizabeth Jane"
145,Bande dessinée adulte,164.0,Les piliers de la civilisation,"Harari,  Yuval Noah"
22,Bande dessinée adulte,432.0,"Une jeunesse au Moyen-Orient, 1978-1984","Sattouf,  Riad"
148,DVD jeunesse,164.0,"Encanto, la fantastique famille Madrigal",
644,Bande dessinée jeunesse,73.0,Naruto. 26,"Kishimoto,  Masashi"
97,Bande dessinée adulte,205.0,Peau d'homme,Hubert
403,Bande dessinée jeunesse,94.0,Demon slayer : Kimetsu no yaiba. 3,"Gotouge,  Koyoharu"
188,DVD tous publics,143.0,Maigret,
389,Nouveauté,96.0,Taormine : roman,"Ravey,  Yves"
376,Bande dessinée jeunesse,98.0,Le réveil du Kréa-Kaos,"Sobral,  Patrick"
502,,84.0,Héritages,"Messenger,  Shannon"
918,Bande dessinée jeunesse,59.0,Le royaume des larmes,"Sobral,  Patrick"
999,DVD nouveautés tous publics,56.0,La  nuit du 12,
750,Bande dessinée jeunesse,67.0,Les carnets de l'apothicaire. 6,"Nanao,  Itsuki"
233,Nouveauté,127.0,Des vivants,"Meltz,  Raphaël"
762,Nouveauté,66.0,La vérité sur la lumière,Auður Ava Ólafsdóttir
809,coffret DVD > 12 ans,64.0,Des filles disparaissent ; les criminels,
41,,328.0,V13,"Carrère,  Emmanuel"
110,DVD tous publics,195.0,France,
721,Bande dessinée jeunesse,68.0,The promised Neverland. 10,"Shirai,  Kaiu"
845,Bande dessinée adulte,62.0,"Alors, tout tombe : première partie","Díaz Canales,  Juan"
877,Bande dessinée ado,61.0,Sois forte,"Oda,  Eiichiro"
980,Nouveauté,56.0,Spirou : l'espoir malgré tout. 1,"Bravo,  Émile"
372,Livre adulte,98.0,"Italie du Nord : sans les lacs italiens, Venise et Milan : 2021-2022","Gloaguen,  Philippe"
700,,69.0,Star à domicile,Nob
384,,96.0,Le piège de glace,"Sutherland,  T.T."
508,Bande dessinée jeunesse,84.0,My hero academia. 30,"Horikoshi,  K?hei"
650,,72.0,Sérotonine,"Houellebecq,  Michel"
529,Nouveauté jeunesse,82.0,The next,"Horikoshi,  K?hei"
30,Bande dessinée adulte,355.0,Histoire de mes 16 ans,"Sattouf,  Riad"
71,Livre adulte,248.0,Les vertueux,"Khadra,  Yasmina"
91,DVD nouveautés tous publics,219.0,Licorice Pizza,
658,DVD nouveautés tous publics,72.0,En attendant Bojangles,
786,DVD nouveautés tous publics,65.0,Les  choses humaines,
608,Nouveauté,76.0,La doublure : roman,"Da Costa,  Mélissa"
424,Livre adulte,92.0,Les années,"Ernaux,  Annie"
669,Bande dessinée jeunesse,71.0,Les carnets de l'apothicaire. 3,"Nanao,  Itsuki"
639,Livre adulte,73.0,Je revenais des autres : roman,"Da Costa,  Mélissa"
806,Livre adulte,64.0,Sang trouble,"Galbraith,  Robert"
210,Livre adulte,133.0,Celui qui veille,"Erdrich,  Louise"
334,DVD tous publics,103.0,Un héros,
619,,75.0,Vider les lieux,"Rolin,  Olivier"
876,Bande dessinée ado,61.0,J'irai où tu iras,"Lyfoung,  Patricia"
77,Bande dessinée jeunesse,238.0,Pour qui sonne le glas,"Oda,  Eiichiro"
25,Livre adulte,398.0,Dans les brumes de Capelans,"Norek,  Olivier"
370,Bande dessinée jeunesse,98.0,Demon slayer : Kimetsu no yaiba. 12,"Gotouge,  Koyoharu"
682,,70.0,C'est comme ça que je disparais,"Malle,  Mirion"
869,Nouveauté,61.0,L'éclaireur,"Jirnov,  Sergueï"
193,,139.0,Moon River,Fabcaro
387,Bande dessinée adulte,96.0,Adieu triste amour,"Malle,  Mirion"
45,Livre adulte,314.0,Mon mari,"Ventura,  Maud"
579,Bande dessinée jeunesse,78.0,Demon slayer : Kimetsu no yaiba. 16,"Gotouge,  Koyoharu"
755,Bande dessinée ado,67.0,Naruto. 44,"Kishimoto,  Masashi"
893,Livre adulte,60.0,La soeur de la tempête,"Riley,  Lucinda"
973,Bande dessinée ado,57.0,Fairy Tail. 8,"Mashima,  Hiro"
189,Bande dessinée jeunesse,142.0,One piece. 9. Larmes,"Oda,  Eiichiro"
213,Bande dessinée jeunesse,132.0,Karmastrophique,Mr Tan
240,Livre adulte,125.0,Porca miseria,"Benacquista,  Tonino"
244,DVD nouveautés tous publics,123.0,Ouistreham,
272,,115.0,Tant pis pour l'amour : ou comment j'ai survécu à un manipulateur,"Lambda,  Sophie"
400,Bande dessinée jeunesse,94.0,Frémissements,"Horikoshi,  Kohei"
408,,93.0,En attendant Bojangles : roman,"Bourdeaut,  Olivier"
512,Bande dessinée ado,84.0,La légende est en marche,"Oda,  Eiichiro"
524,Nouveauté,82.0,Culottées : des femmes qui ne font que ce qu'elles veulent. 2,"Bagieu,  Pénélope"
581,Bande dessinée adulte,78.0,"Sous les galets, la plage","Rabaté,  Pascal"
686,DVD nouveautés tous publics,70.0,Last Night in Soho,
4,Livre adulte,760.0,Le mage du Kremlin : roman,"Da Empoli,  Giuliano"
207,Livre adulte,134.0,"Les 5 blessures qui empêchent d'être soi-même : rejet, abandon, humiliation, trahison, injustice","Bourbeau,  Lise"
614,Livre adulte,75.0,Canaries : + randonnées et plongées : 2021,"Gloaguen,  Philippe"
643,Bande dessinée ado,73.0,Naruto. 20,"Kishimoto,  Masashi"
836,Bande dessinée jeunesse,62.0,Un bonheur presque parfait,"Dubuc,  Maryse"
255,DVD tous publics,120.0,Enquête sur un scandale d'Etat,
960,Bande dessinée jeunesse,57.0,Coeur cookie,"Grisseaux,  Véronique"
425,Nouveauté jeunesse,91.0,My hero academia. 5. Shoto Todoroki : les origines,"Horikoshi,  Kohei"
910,Nouveauté,60.0,Journal inquiet d'Istanbul. 1,"Karabulut,  Ersin"
133,Livre adulte,174.0,Les hommes ont peur de la lumière,"Kennedy,  Douglas"
364,Nouveauté,100.0,Performance : roman,"Liberati,  Simon"
369,Bande dessinée adulte,99.0,"Bien sûr, monsieur Proust","Cruchaudet,  Chloé"
734,Livre jeunesse,68.0,Trop c'est trop,"Kinney,  Jeff"
797,Bande dessinée adulte,64.0,La différence invisible,"Dachez,  Julie"
971,Bande dessinée ado,57.0,Naruto. 18,"Kishimoto,  Masashi"
868,,61.0,Le festin : roman,"Kennedy,  Margaret"
153,DVD tous publics,160.0,The batman,
332,DVD tous publics,103.0,Présidents,
319,DVD > 12 ans,105.0,Les Crimes du futur,
337,Bande dessinée jeunesse,103.0,Ace entre en scène,"Oda,  Eiichiro"
362,Nouveauté,100.0,Ce que nous sommes,Zep
919,Nouveauté,59.0,Un avenir radieux,"Horikoshi,  K?hei"
238,Livre adulte,126.0,Le magicien,"To?ibi?n,  Colm"
373,,98.0,Spy x Family. 8,"End?,  Tatsuya"
469,Livre adulte,87.0,Les lions de Sicile : roman,"Auci,  Stefania"
537,,81.0,Chez soi : une odyssée de l'espace domestique,"Chollet,  Mona"
974,Livre jeunesse,57.0,Carrément claustro,"Kinney,  Jeff"
10,Livre adulte,642.0,L'affaire Alaska Sanders,"Dicker,  Joël"
586,Bande dessinée ado,78.0,Naruto. 10,"Kishimoto,  Masashi"
847,Livre adulte,62.0,L'assassin de la rue Voltaire : roman,"Loevenbruck,  Henri"
675,Bande dessinée ado,71.0,Naruto. 41,"Kishimoto,  Masashi"
687,DVD nouveautés tous publics,70.0,Haute couture,
927,Bande dessinée jeunesse,59.0,Rêve et cauchemort !,"Douyé,  Sylvia"
966,Bande dessinée adulte,57.0,Elise et les nouveaux partisans,"Grange,  Dominique"
409,Bande dessinée jeunesse,93.0,Demon slayer : Kimetsu no yaiba,"Gotouge,  Koyoharu"
817,Livre adulte,63.0,La papeterie Tsubaki,"Ogawa,  Ito"
109,Bande dessinée jeunesse,196.0,Attaque au clair de lune,"Oda,  Eiichiro"
654,Livre adulte,72.0,Les possibles,"Grimaldi,  Virginie"
50,Nouveauté,295.0,Les cahiers d'Esther. Histoires de mes 11 ans,"Sattouf,  Riad"
674,Bande dessinée ado,71.0,La grande promesse,"Oda,  Eiichiro"
688,DVD nouveautés tous publics,70.0,Le  diable n'existe pas,
547,Livre adulte,80.0,Couleurs de l'incendie,"Lemaitre,  Pierre"
554,DVD > 12 ans,80.0,Oranges sanguines,
567,DVD tous publics,79.0,Bergman Island,
368,Bande dessinée jeunesse,99.0,Universelle(s),"Toussaint,  Kid"
621,DVD nouveautés tous publics,75.0,En même temps,
722,Bande dessinée jeunesse,68.0,Astérix et le griffon,"Ferri,  Jean-Yves"
33,Livre adulte,345.0,Vivre avec nos morts : petit traité de consolation,"Horvilleur,  Delphine"
72,Livre adulte,246.0,Le pays des autres : roman,"Slimani,  Leïla"
75,Livre adulte,239.0,"La France sous nos yeux : économie, paysages, nouveaux modes de vie","Fourquet,  Jérôme"
162,Bande dessinée ado,156.0,Naruto. 1,"Kishimoto,  Masashi"
329,Bande dessinée jeunesse,104.0,Tiens bon !!,"Oda,  Eiichiro"
407,Bande dessinée jeunesse,94.0,Coeur du passé,"Sobral,  Patrick"
677,Bande dessinée jeunesse,71.0,One Piece. 55. Des travs en enfer,"Oda,  Eiichiro"
690,DVD nouveautés tous publics,70.0,Twist à Bamako,
757,Bande dessinée jeunesse,67.0,L'opération Dressrosa S.O.P.,"Oda,  Eiichiro"
824,,63.0,Suzette ou Le grand amour,"Toulmé,  Fabien"
111,Bande dessinée jeunesse,192.0,Tout ça finira mal,Tan
611,Bande dessinée jeunesse,75.0,La menace,"Fléchais,  Amélie"
629,Nouveauté,74.0,La rose dégoupillée,"Riffaud,  Madeleine"
378,Livre adulte,97.0,Changer l'eau des fleurs : roman,"Perrin,  Valérie"
132,Bande dessinée adulte,174.0,Amalia,"Picault,  Aude"
518,Livre adulte,83.0,"La volonté de changer : les hommes, la masculinité et l'amour","Hooks,  Bell"
519,Bande dessinée jeunesse,83.0,Kaiju n 8. 3,"Matsumoto,  Naoya"
751,DVD tous publics,67.0,Le Genou d'Ahed,
266,Livre adulte,117.0,Un barrage contre l'Atlantique,"Beigbeder,  Frédéric"
42,Livre adulte,321.0,Les abeilles grises,"Kourkov,  Andrei"
47,,311.0,Le jeune homme,"Ernaux,  Annie"
764,Nouveauté,66.0,La puissance des ombres : roman,"Germain,  Sylvie"
953,DVD nouveautés tous publics,58.0,Luca,
361,,100.0,"Tu le sais bien, le temps passe","Nay,  Catherine"
93,Livre adulte,213.0,Nouveau départ,"Howard,  Elizabeth Jane"
127,Livre adulte,175.0,La chronique des Bridgerton. 1 & 2,"Quinn,  Julia"
311,Bande dessinée jeunesse,105.0,My hero academia. 7. Katsuki Bakugo : les origines,"Horikoshi,  Kohei"
701,Bande dessinée jeunesse,69.0,Les Phoenix,"Dequier,  Bruno"
106,Nouveauté,196.0,La petite menteuse,"Robert-Diard,  Pascale"
235,Livre adulte,126.0,Chevreuse : roman,"Modiano,  Patrick"
316,Livre adulte,105.0,Une heure de ferveur : roman,"Barbery,  Muriel"
393,Bande dessinée jeunesse,96.0,Quelle chouchoute !,"Maury,  William"
569,Livre adulte,79.0,Le triomphe des lions,"Auci,  Stefania"
928,Livre adulte,59.0,La toute petite reine,"Ledig,  Agnès"
417,Bande dessinée adulte,92.0,Radium girls,Cy
459,,88.0,Rendez-vous avec la menace,"Chapman,  Julia"
305,Bande dessinée ado,107.0,Un chemin en pente raide,"Oda,  Eiichiro"
397,Bande dessinée adulte,95.0,Goldorak,"Dorison,  Xavier"
754,Nouveauté,67.0,Stardust : roman,"Miano,  Léonora"
228,DVD tous publics,128.0,La  fracture,
406,Nouveauté,94.0,Spirou : l'espoir malgré tout. 4,"Bravo,  Émile"
