rang,type_de_document,reservations,titre,auteur
48,Bande dessinée adulte,308.0,Une jeunesse au Moyen-Orient : 1985-1987,"Sattouf,  Riad"
445,,89.0,Le pain perdu,"Bruck,  Edith"
667,Bande dessinée jeunesse,71.0,Ma bible,"Oda,  Eiichir?"
87,Livre adulte,225.0,Le gosse : roman,"Olmi,  Véronique"
992,Livre adulte,56.0,Tout comprendre (ou presque) sur le climat,BonPote
216,DVD nouveautés tous publics,132.0,Tre piani,
284,DVD tous publics,112.0,Antoinette dans les Cévennes,
534,Bande dessinée jeunesse,82.0,"Mon coup d'soleil, c'est toi !","Cazenove,  Christophe"
787,Nouveauté,65.0,Le goûter du lion,"Ogawa,  Ito"
880,Bande dessinée ado,61.0,Naruto. 43,"Kishimoto,  Masashi"
994,DVD nouveautés tous publics,56.0,La Fièvre de Petrov,
301,Bande dessinée jeunesse,107.0,Demon slayer : Kimetsu no Yaiba. 2,"Gotouge,  Koyoharu"
327,DVD nouveautés tous publics,104.0,La  méthode Williams,
8,Livre adulte,712.0,La plus secrète mémoire des hommes,"Sarr,  Mohamed Mbougar"
990,Livre adulte,56.0,Tout comme toi : roman,"Hornby,  Nick"
217,Nouveauté,132.0,Les masques éphémères,"Leon,  Donna"
352,Bande dessinée ado,101.0,Naruto. 12,"Kishimoto,  Masashi"
853,,61.0,Beauté fatale : les nouveaux visages d'une aliénation féminine,"Chollet,  Mona"
530,,82.0,L'archipel des oubliés,"Beuglet,  Nicolas"
551,Livre adulte,80.0,Maia,"Riley,  Lucinda"
640,Bande dessinée jeunesse,73.0,Le portail émeraude,"Siegel,  Mark"
771,Livre adulte,66.0,Fairy Tail. 5,"Mashima,  Hiro"
957,Livre adulte,58.0,Les versets sataniques,"Rushdie,  Salman"
969,Nouveauté,57.0,Impunité,"Devynck,  Hélène"
83,Bande dessinée jeunesse,227.0,Romance dawn,"Oda,  Eiichiro"
158,DVD nouveautés tous publics,158.0,Titane,
191,Livre adulte,141.0,Ecrire la vie,"Ernaux,  Annie"
200,Bande dessinée adulte,135.0,Guacamole vaudou,"Judor,  Éric"
456,Livre adulte,88.0,Italie du Nord,
760,Livre jeunesse,66.0,Les serres du pouvoir,"Sutherland,  Tui"
831,Bande dessinée adulte,63.0,Aya de Yopougon. 2,"Abouet,  Marguerite"
940,Bande dessinée jeunesse,58.0,One Piece : édition originale. 57. Guerre au sommet,"Oda,  Eiichir?"
696,,70.0,La synagogue,"Sfar,  Joann"
88,Livre adulte,224.0,La patience des traces : roman,"Benameur,  Jeanne"
231,Bande dessinée jeunesse,127.0,Supergéant !,"Didier,  Anne"
404,Bande dessinée jeunesse,94.0,Un voyage à Paris,"Oseman,  Alice"
241,,124.0,L'origine du monde,"Strömquist,  Liv"
635,Livre adulte,73.0,Les furtifs,"Damasio,  Alain"
720,Nouveauté jeunesse,68.0,My hero academia. 15. Lutte contre le destin,"Horikoshi,  K?hei"
968,Livre adulte,57.0,Clara lit Proust,"Carlier,  Stéphane"
365,DVD nouveautés tous publics,100.0,Doctor Strange in the Multiverse of Madness,
452,Bande dessinée ado,89.0,Naruto. 7,"Kishimoto,  Masashi"
775,Bande dessinée ado,65.0,One Piece : édition originale. 27. Prélude,"Oda,  Eiichir?"
351,coffret DVD > 12 ans,101.0,The  Handmaid's Tale. Saison 4,
481,Bande dessinée jeunesse,86.0,Désobéir !,"Dugomier,  Vincent"
