903,identifiant,lien_permament_portail,isbn,ean,langue_du_document,langue_du_texte_intermediaire,langue_de_l_oeuvre_originale,date_de_publication,langue_des_sous_titres,titre,type_de_document,titre_d_un_auteur_different,titre_parallele,complement_du_titre,premiere_mention_de_responsabilite,mention_de_responsabilite_suivante,numero_de_partie,titre_de_partie,lieu_de_publication,nom_de_l_editeur,indication_specifique_du_type_de_document,autres_caracteristiques_materielles,format,materiel_d_accompagnement,collection,est_publie_avec,est_une_traduction_de,niveau_de_l_ensemble,unite_materielle,partie_composante,dates_auteur,dates_co_auteur,dates_auteur_secondaire,auteur_collectivite_element_d_entree,auteur_collectivite_subdivision,auteur_collectivite_date,co_auteur_collectivite_element_d_entree,co_auteur_collectivite_subdivision,co_auteur_collectivite_date,auteur_secondaire_collectivite_element_d_entree,auteur_secondaire_collectivite_subdivision,auteur_secondaire_collectivite_date,localisation,sous_localisation,nombre_d_objets,code_barre,cote,tomaison,categorie_documentaire,collection0,fonds,note,conservation,etat_physique,etat_de_collection,auteur_complet,co_auteur,auteur_secondaire
1873594,RBSVDP0001873594,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001873594,,,['fre'],,,avril-mai 1984,,La Foire du Trône. Les loteries,['[Image fixe]'],,,[photographie],Lionel Mouraux,,,,,,1 photographie positive,noir et blanc,16 x 24 cm,,,,,,,,1953-...,,,,,,,,,,,,BHVP,MAB1,1.0,32272900866480,4-ENA-00251-0092,,PH,,,,,,,"['Mouraux, Lionel']",,
1841752,RBSVDP0001841752,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001841752,,,['fre'],,,P2003,,Les Enfoirés 2003,['[Enregistrement sonore]'],,,La foire aux Enfoirés,,,,,,['Les Restaurants du Coeur'],2 disques compacts,,,1 brochure,,,,,,,,,,,,,,,,,,,MMP,SON,1.0,32272051869805,N 65641,,CD,,,,,,,,,
1851315,RBSVDP0001851315,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001851315,,,['fre'],,,cop. 1984,,Florence,['[Musique imprimée]'],,,trois séquences pour clavecin,Nicole Philiba-Smith,,,,Paris,['G. Billaudot'],1 partition (12 p.),,30 cm,,,,,,,,1937-...,,,,,,,,,,,,BCVP,EPC,1.0,32272117096625,4 PHI 11.21,,PA,,,Prêt réservé aux conservatoires de la ville de Paris,,,,"['Philiba, Nicole']",,
2068425,RBSVDP0002068425,https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0002068425,,,['fre'],,,Vers 1915-1920,,"[Flers, Robert de. Photographies]",['[Image fixe]'],,,,,,,,,,4 photographies positives,noir et blanc,,,,,,,,,,,,,,,,,,,,,BHVP ; BHVP,MAB1 ; MAB1,,,2-TEP-0158 ; 4-TEP-002033-(001-003),,PH ; PH,,,,,,,,,
1894308,RBSVDP0001894308,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001894308,,,['eng'],,,[1983],,First time in Europe,['[Enregistrement sonore]'],,,,"Buster Benton, guitare, chant",,,,,['Blue Phenix'],1 disque,33 t,30 cm,,,,,,,Honey bee ; The hawk is coming ; The best piece of chicken I ever had I stole it ; Something about the blues ; Hard luck blues ; I must have a hole in my head ; Cold man ; Money is the name of the game ; Lean on me ; Hold it on,1932-1996,,1931-1994 ; 1919-1990 ; 1930-... ; 1926-1989,,,,,,,,,,MMP,SON,1.0,32272108197192,T 26319,,MI,,STIE,,,,,"['Benton, Buster']",,"['Littlejohn', 'Beard', 'Leake', 'Stroger', 'Payne, John', 'Joe', 'Lafayette', 'Bob', 'Odie']"
1620333,RBSVDP0001620333,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001620333,,,['fre'],,,1939,,[Finlande. Portrait d'homme. ],['[Image fixe]'],,,[photographie],[Thérèse Bonney],,,,,,,,,,,,,,,,1894-1978,,,,,,,,,,,,BHVP ; BHVP,MABU ; MABU,,32272900754729 ; 32272900754426,4C-EPF-006-03186 ; 4C-EPF-006-03000,,PH ; PH,,,"Photographie positive au gélatino-bromure d'argent par Thérèse Bonney  (tampon humide) [1939], d'après le négatif n? 3118-bis ; 24,6 x 18,1 cm ; Photographie positive au gélatino-bromure d'argent par Thérèse Bonney  (tampon humide) [1939], d'après le né",,,,"['Bonney, Thérèse']",,
1623965,RBSVDP0001623965,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001623965,,,['fre'],,,1939,,[Finlande. 3 soldats finnois. ],['[Image fixe]'],,,[photographie],[Thérèse Bonney],,,,,,,,,,,,,,,,1894-1978,,,,,,,,,,,,BHVP,MABU,1.0,32272900754472,4C-EPF-006-02911,,PH,,,"Photographie positive au gélatino-bromure d'argent par Thérèse Bonney (tampon humide) [1939], d'après le négatif n? 2679",,,,"['Bonney, Thérèse']",,
1790089,RBSVDP0001790089,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0001790089,978-2-212-13445-2,9782212134452,['fre'],,eng,DL 2012,,Filmer avec son iPhone,['[Texte imprimé]'],,,"tourner, monter, diffuser",Ben Harvell,[traduit et adapté de l'anglais par Charles Robert],,,Paris,['Eyrolles'],1 vol. (160 p.),"cill. en noir et en coul., couv. ill. en coul.",13 x 24 cm,,,,,,,,1981-...,,,,,,,,,,,,CINE,EPC,1.0,32272110211783,778.59 HAR,,LI,PRET,,,,,,"['Harvell, Ben']",,"['Robert, Charles']"
2001096,RBSVDP0002001096,http://bibliotheques-specialisees.paris.fr/ark:/73873/pf0002001096,978-0-8389-1031-3 ; 1-931666-24-5,9780838910313,['eng'],,,cop. 2007,,Film preservation,['[Texte imprimé]'],,,"competing definitions of value, use, and practice",Karen F. Gracy,,,,Chicago (Ill.),['Society of American archivists'],1 vol. (V-287 p.),"tabl., graph., couv. ill. en coul.",23 cm,,,,,,,,,,,,,,,,,,,,CINE,EPC,1.0,32272110475297,778.58 GRA,,LI,PRET,,,,,,"['Gracy, Karen F']",,
2191470,,https://bibliotheques-specialisees.paris.fr/ark:/73873/pf0002191470,9781784538385,9781784538385,['eng'],,,2018,,Film and identity in Kazakhstan,['[Texte imprimé]'],,,Soviet and Post-Soviet culture in Central Asia,Rico Isaacs,,,,,['I.B. Tauris'],,,,,International library of Central Asian studies,,,,,,,,,,,,,,,,,,CINE,EPC,1.0,32272124911808,,,LI,PRET,,,,,,"['Isaacs, Rico']",,
