ndeg_de_notice,isbn,issn,ean,langue,titre,edition,editeur,date,format,collection,titre_de_serie,ndeg,auteur_nom,auteur_prenom,auteur_dates,libelle_v_smart_et_webopac,nombre_de_localisations,nombre_de_pret_total,nombre_de_prets_2017,nombre_d_exemplaires,categorie_statistique_1,categorie_statistique_2,aime_cesaire,amelie,andre_malraux,andree_chedid,arthur_rimbaud,assia_djebar,batignolles,benjamin_rabier,buffon,canopee_la_fontaine,chaptal,charlotte_delbo,claude_levi_strauss,colette_vivier,courcelles,couronnes_naguib_mahfouz,crimee,diderot,drouot,edmond_rostand,europe,faidherbe,fessart,francois_villon,francoise_sagan,georges_brassens,germaine_tillion,glaciere,goutte_d_or,gutenberg,helene_berr,herge,heure_joyeuse,italie,jacqueline_de_romilly,jean_pierre_melville,lancry,louise_michel,marguerite_audoux,marguerite_duras,marguerite_yourcenar,maurice_genevoix,mmp,mohammed_arkoun,mortier,musset,oscar_wilde,parmentier,place_des_fetes,rainer_maria_rilke,reserve_centrale,robert_sabatier,saint_eloi,saint_simon,sorbier,vaclav_havel,valeyre,vandamme,vaugirard,auteur,co_auteur,auteur_secondaire,collectivite_auteur,collectivite_auteur_secondaire_,collectivite_co_auteur_
1045424,,,8052405141781,sans,"Proximity | Enregistrement sonore | Enrico Pieranunzi, p | with Ralph Alessi, trp | Donny McCaslin, saxo... [et al.]",,"['Creazioni artistiche musicali', '[distrib. Harmonia mundi distribution]']",[DL 2016],1 disque compact (46 min 48 s) | 1 brochure,,,,Pieranunzi,Enrico,1949-....,Disque compact,6,68.0,19,6,"['M110 Jazz variete et jazz ""inclassable""']",['pas de code stat 2'],,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,1.0,,,1.0,,,,,,,,,,"['Pieranunzi, Enrico']",,"Alessi;McCaslin, Ralph;Donny",,,
1045513,978-2-8189-3457-9,,9782818934579,français,"La gloire de mon père | Texte imprimé | scénario, Serge Scotto & Éric Stoffel | dessins, Morgann Tanco | couleurs, Sandrine Cordurié | [d'après] Marcel Pagnol",,['Bamboo édition'],DL 2015,1 vol. (89-[5] p.) | ill. en coul. | 32 cm,Grand angle,,,Scotto,Serge,1963-....,Bande dessinée jeunesse,31,583.0,213,32,['LBDE Bandes dessinees'],['pas de code stat 2'],1.0,,1.0,1.0,,,1.0,,,,1.0,1.0,,,1,,1.0,1,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,,,1.0,1.0,1.0,,,2.0,,1.0,1.0,1.0,,1.0,,1.0,,,1.0,,,,,"['Scotto, Serge']","Stoffel, Éric","Tanco;Pagnol, Morgann;Marcel",,,
1045674,,,5019396261723,yiddish,"City of the future | Enregistrement sonore | yiddish songs from the former Soviet Union | Yale Strom, comp. & vl. ; Hot Pstromi, ens. voc. & instr.",,['ARC Music'],2015,1 disque compact | 1 brochure,,,,Strom,Yale,,Disque compact,3,28.0,4,3,['M902 Musiques du monde: peuples en diaspora'],['pas de code stat 2'],,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,"['Strom, Yale']",,,,,Hot Pstromi
1045748,,,5053083066918,français,Le château hanté | Images animées,,"['Universal pictures video France [éd., distrib.]']",2016,"1 DVD vidéo monoface simple couche zone 2 (1 h 10 min) | 16/9, coul. (PAL), son., surround",Robin des Bois | malice à Sherwood | 03,,,,,,DVD jeunesse,1,33.0,12,1,['CFRA Cinema francais'],"[""CANI Film d'animation""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103323,,,,français,"La genèse de ""Dialogues des Carmélites"" | Texte imprimé | S. Meredith Murray",,['Ed. du Seuil'],1963,174 p. | 21 cm,,,,Murray,S. Meredith,,Livre pour adulte,1,13.0,1,1,['Littérature française (autres)'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,"['Murray, S. Meredith']",,,,,
103391,2-906458-39-2,,,français,La légende du sapin | Texte imprimé | d'après H. J. Troxler | adaptée et ill. par Th. Chapeau,,['Éd. du Bastberg'],1996,"25 p. | ill. en coul., couv. ill. en coul. | 23 cm",,,,Troxler,Hermann Joseph,,Livre jeunesse,2,116.0,5,2,['LALB Albums'],['pas de code stat 2'],,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Troxler, Hermann Joseph']",,"Chapeau, Thierry",,,
1033504,,,3149027004121,sans,"Homes | Enregistrement sonore | Gilad Hekselman, guit. | Joe Marti, cb | Marcus Gilmore, batt... [et al.]",,['Harmonia mundi'],P 2015,1 disque compact,,,,Hekselman,Gilad,1983-....,Disque compact,5,77.0,20,5,['M106 Cool jazz'],['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,"['Hekselman, Gilad']",,"Martin;Gilmore, Joe;Marcus",,,
1033978,,,3333297210775,français,"Pierre Lapin | 4 | Images animées | David McCamley, réal. | Beatrix Potter, adapt. | Stuart Kollmorgen, comp. | Mark Huckerby, Nick Ostler, Justin Trefgarne, scénario",,['France Télévisions Distribution [éd.]'],2015,"1 DVD 2 couches sur une simple face (02 h 34 mn) | 1.77, 16/9 compatible 4/3, coul., (PAL), Son. (Dolby Digital 2.0; français)",,,,,,,DVD jeunesse,8,227.0,68,8,['CBRI Cinema britannique'],"[""CANI Film d'animation""]",,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,"McCamley;Potter;Huckerby;Ostler;Trefgarne;Kollmorgen, David;Beatrix;Mark;Nick;Justin;Stuart",,,
1043008,,,4260072721999,anglais,"Running wild | Enregistrement sonore | Ruby Ann, chant",,['Rhythm Bomb Records'],2014,"1 disque | 33 t, stéréo | 30 cm",,,,Ruby Ann,,,Vinyle,1,4.0,2,1,"[""M201 Rock'n'roll, rockabilly""]",['pas de code stat 2'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,['Ruby Ann'],,,,,
1043321,978-2-08-134856-1,,9782081348561,français,Viges | Texte imprimé | Christophe Lamiot-Enos,,['Flammarion'],DL 2016,1 vol. (308 p.) | 20 cm,Poésie-Flammarion,,,Lamiot,Christophe,1962-....,Livre pour adulte,1,,0,1,['LFRA Litterature francaise'],['LPOP Poesie a partir de 1945'],,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"['Lamiot, Christophe']",,,,,
