annee_passage,date_passage,adresse,complement_d_adresse,code_postal,protection,voeu,resolution,siecle_de_construction,date_de_construction,designation,architecte,type_de_travaux_1,type_de_travaux_2,intervention,url_document_de_seance,doc_seance,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_point_2d.lon,geo_point_2d.lat
2007,2007-01-25,10 boulevard de la Chapelle,10 boulevard de la Chapelle  / 1 rue Caillié,75018,['Aucune'],,Pas de résolution,,,,,Démolition totale,,,https://cdn.paris.fr/paris/2019/07/24/3ffb28df3d536770eb3b3caf65221406.pdf,Disponible,Feature,"[2.364139434108872, 48.884599191514205]",Point,2.364139434108872,48.884599191514205
2007,2007-01-25,64 boulevard de la Chapelle,64 boulevard de la Chapelle  / 5 rue de Chartres,75018,['Aucune'],,Pas de résolution,,,,,Démolition totale,,,https://cdn.paris.fr/paris/2019/07/24/3ffb28df3d536770eb3b3caf65221406.pdf,Disponible,Feature,"[2.3547753491962977, 48.88431683470925]",Point,2.3547753491962977,48.88431683470925
2007,2007-07-10,117 rue de Ménilmontant,117-121 rue de Ménilmontant  / 301-303 rue des Pyrénées,75020,"['Protection Ville de Paris', 'Inscrit Monument historique']",,Pas de résolution,XVII,,"pavillon Carré de Baudouin, Maison de Secours",Pierre-Louis Moreau (attribué à),Démolition totale,,,https://cdn.paris.fr/paris/2020/02/26/b6d0bed6b4fddc8902ab0a4cc4ac7d62.pdf,Disponible,Feature,"[2.3931319622871894, 48.86959354964604]",Point,2.3931319622871894,48.86959354964604
2007,2007-09-18,36 rue des Poissonniers,,75018,['Aucune'],,Pas de résolution,,,,,Démolition totale,,,https://cdn.paris.fr/paris/2020/02/26/65beb107ef9153ac0a4a6d9dc498c6a5.pdf,Disponible,Feature,"[2.351521032479093, 48.88807817774051]",Point,2.351521032479093,48.88807817774051
2010,2010-07-22,11 quai de Conti,11 quai de Conti  / 2-2b rue Guénégaud  / 1 impasse de Conti,75006,['Classé Monument historique'],"La Commission du Vieux Paris, réunie le 22 juillet 2010 à l’Hôtel de Ville sous la présidence de Mme Danièle Pourtaud, adjointe au Maire chargée du patrimoine, a examiné le projet de réaménagement de l’hôtel des Monnaies.Elle s’est félicitée du soin apporté aux recherches historiques qui ont permis d’accompagner le projet et de guider les choix de restauration. Dans la perspective de l’ouverture au public des ateliers de fabrication, sous forme de parcours pédagogiques, elle a exprimé le souhait qu’une étude complémentaire soit consacrée à l’histoire industrielle de ce site, qui fut l’une des grandes manufactures parisiennes.Elle a également émis le vœu que soient menées les investigations nécessaires à la reconnaissance des vestiges de l’enceinte de Philippe Auguste afin d’en assurer la conservation.",Vœu,XVIII,,Hôtel des Monnaies,Jacques-Denis Antoine,Démolition partielle,Circulations intérieures,,https://cdn.paris.fr/paris/2020/02/26/ce10c0da174651f2cbc3ba0b74147a18.pdf,Disponible,Feature,"[2.339199712750133, 48.85674623120013]",Point,2.339199712750133,48.85674623120013
2010,2010-09-15,6 rue des Panoyaux,,75020,['Aucune'],"La Commission du Vieux Paris, réunie le 15 septembre 2010 à l’Hôtel de Ville sous la présidence de Mme Danièle Pourtaud, adjointe au Maire chargée du patrimoine, a examiné le projet de démolition d’un petit immeuble des années 1900 qui, bien que de date récente, participe par sa façade de plâtre à bandeaux horizontaux à la tradition constructive des faubourgs parisiens – tradition menacée d’effacement dans cette rue et ce quartier de Paris.S’agissant de l’immeuble sur rue, la Commission a demandé que soit privilégiée la réhabilitation. Elle a considéré qu’une étude préalable était nécessaire avant tout choix d’intervention. En l’absence de cette étude elle a demandé la conservation de l’édifice.De manière plus générale, constatant la multiplication de projets immobiliers entraînant la disparition du bâti le plus ancien des faubourgs de Paris, la Commission a demandé qu’une réflexion soit engagée d’urgence sur cette problématique.",Vœu,XX,,,Charles Kieken  ; Clément Coquenpot,Démolition totale,,,https://cdn.paris.fr/paris/2020/02/26/e01b90900ead655d5dc7870afc3bb82e.pdf,Disponible,Feature,"[2.3848357957465383, 48.86628948076567]",Point,2.3848357957465383,48.86628948076567
2006,2006-04-25,14 place Dauphine,,75001,,"La Commission du vieux Paris, réunie le 25 avril 2006 à l’Hôtel de Ville sous la présidence de Mme Moïra Guilmart, adjointe au Maire chargée du patrimoine, a protesté contre les travaux de démolition effectués sans autorisation dans ce bâtiment appartenant au lotissement du XVIIe, au 14 place Dauphine (1er arr.), et protégé au titre du futur PLU.",Vœu,XVII,,,,Démolition partielle,,,https://cdn.paris.fr/paris/2020/02/26/7f44d37fb42f0f3e37d97d4a5c5d5a7b.pdf,Disponible,Feature,"[2.3426318155214116, 48.85676929880245]",Point,2.3426318155214116,48.85676929880245
2005,2005-10-20,5 place des Petits-Pères,5 place des Petits-Pères  / 2 passage des Petits-Pères,75002,"['Protection Ville de Paris', 'Inscrit Monument historique']",,Pas de résolution,XVIII,,,,Démolition partielle,,,Bientôt disponible,Bientôt disponible,Feature,"[2.3405719627914414, 48.86652824094155]",Point,2.3405719627914414,48.86652824094155
2005,2005-10-20,11 rue des Gravilliers,,75003,['Plan de sauvegarde et de mise en valeur'],,Pas de résolution,XVIII,,,,Démolition totale,,,Bientôt disponible,Bientôt disponible,Feature,"[2.357384930934465, 48.86359053483417]",Point,2.357384930934465,48.86359053483417
2005,2005-10-20,36 rue du Vertbois,,75003,['Protection Ville de Paris'],"Vœu en faveur de la conservation des distributions d’origine du 36, rue du Vertbois (3e arr.)La Commission du vieux Paris, réunie le 20 octobre 2005 à l’Hôtel de Ville, sous la présidence de Mme Moïra Guilmart, adjointe au maire chargée du patrimoine, a formé le vœu que soit préservée la distribution d’origine (entrée, couloir axial encadré par deux refends et donnant sur l’escalier principal), caractéristique des immeubles du XVIIIème siècle, au 36, rue du Vertbois (3e arr.), et elle s'est prononcée pour le maintien de l’escalier secondaire dans son intégrité.",Vœu,XVII,,,,Circulations intérieures,,,Bientôt disponible,Bientôt disponible,Feature,"[2.3579558627911448, 48.867071692451375]",Point,2.3579558627911448,48.867071692451375
2009,2009-10-01,18 rue Pajol,18-22ter rue Pajol  / 63-63ter rue Riquet,75018,['Aucune'],,Pas de résolution,XIX,,Halle Pajol,,Démolition partielle,,,https://cdn.paris.fr/paris/2020/02/26/e42ecf8d48bde6c7a72ab9362dfd265f.pdf,Disponible,Feature,"[2.361931840046799, 48.887813094360894]",Point,2.361931840046799,48.887813094360894
2010,2010-10-07,83 rue de Sèvres,83 rue de Sèvres  / 8-16 rue de l'Abbé Grégoire,75006,['Protection Ville de Paris'],"La Commission du vieux Paris, réunie le 7 octobre 2010 à l’Hôtel de Ville sous la présidence de Mme Danièle Pourtaud, adjointe au Maire chargée du patrimoine, a examiné le projet de restructuration de l’ancien couvent des dames de Saint-Maur, édifice protégé au titre du PLU. Elle a formé un vœu contre la création d’oriels au premier étage de la façade côté jardin du corps de bâtiment formant galerie, bâti en 1893 par l’architecte E. Charpentier. Ces adjonctions viendraient dénaturer la sobre façade de cet ancien couvent en altérant le rythme des fenêtres en plein cintre du premier étage.",Vœu,XIX,,ancien couvent des dames de Saint-Maur,E. Charpentier,Démolition partielle,,,https://cdn.paris.fr/paris/2020/02/26/61cbc6eba4b2a5112d60850a075a8d5e.pdf,Disponible,Feature,"[2.3228021575753384, 48.849463354200715]",Point,2.3228021575753384,48.849463354200715
2007,2007-03-06,11 rue Gaston de Caillavet,11-21 rue Gaston de Caillavet / 9-19 rue Robert de Flers / 12-22 rue du Théâtre  / 42-46-54 rue Emeriau,75015,['Aucune'],,Pas de résolution,XX,1976,Centre culturel chrétien de Beaugrenelle,Michel Proux,Démolition partielle,,,https://cdn.paris.fr/paris/2020/02/26/73e8b3e1164cd939697eb6e451566801.pdf,Disponible,Feature,"[2.2840794802261377, 48.84930576227592]",Point,2.2840794802261377,48.84930576227592
2006,2006-11-22,boulevard de Picpus,,75012,['Aucune'],"La Commission du vieux Paris, réunie le 22 novembre 2006 à l’Hôtel de Ville sous la présidence de M. Jaques Bravo, maire du 9e arrondissement, a formé un vœu en faveur de la conservation du poste de transformation EDF, dessiné par l’architecte Camille Formigé (à frises de grès décoratif signées Gilardoni) et situé sur la voie publique, Boulevard de Picpus (12e arr.). La Commission du vieux Paris a souhaité que EDF dresse un inventaire exhaustif des transformateurs subsistants, initie un concours d’idées et propose la reconversion d’un certain nombre de ces édicules afin d’éviter leur obsolescence et leur disparition du paysage.",Vœu,XX,1900,,Camille Formigé,Démolition totale,,,https://cdn.paris.fr/paris/2020/02/26/a241051457bf077a7d487d176fce591e.pdf,Disponible,Feature,"[2.4018625345914084, 48.84402435376408]",Point,2.4018625345914084,48.84402435376408
2007,2007-04-03,7 rue Eugène Varlin,7 rue Eugène Varlin  / 17 rue Robert Blache,75010,['Aucune'],"La Commission du vieux Paris, réunie le 3 avril 2007 à l’Hôtel de Ville sous la présidence de M. Jacques Bravo, Maire du 9e  arrondissement, a approuvé le nouveau projet qui conserve partiellement l’ancien atelier de la première moitié du XIXe siècle.",Vœu,XIX,,,,Démolition partielle,,,https://cdn.paris.fr/paris/2019/07/24/800ec2913c40a3763cc3fdd29f28a268.pdf,Disponible,Feature,"[2.3647510023382416, 48.878144701842416]",Point,2.3647510023382416,48.878144701842416
2007,2007-04-03,9 rue Daguerre,,75014,['Aucune'],"La Commission du vieux Paris, réunie le 3 avril 2007 à l’Hôtel de Ville sous la présidence de M. Jacques Bravo, Maire du 9e  arrondissement, a protesté contre les travaux effectués sans attendre les autorisations et a formé un vœu en faveur de la conservation de l’intégrité du dispositif de distribution, notamment l’escalier dans sa tour hors œuvre.",Vœu,XIX,,,,Circulations intérieures,,,https://cdn.paris.fr/paris/2019/07/24/800ec2913c40a3763cc3fdd29f28a268.pdf,Disponible,Feature,"[2.3306004067333466, 48.83352945307841]",Point,2.3306004067333466,48.83352945307841
2006,2006-01-17,3 rue Castagnary,,75015,['Aucune'],,Pas de résolution,,,,,Démolition totale,,,https://cdn.paris.fr/paris/2019/07/24/8ee812ce0fe42afd0ab06ff5fb4554b9.pdf,Disponible,Feature,"[2.3101750750702674, 48.83599796188496]",Point,2.3101750750702674,48.83599796188496
2008,2008-01-22,7B rue de Musset,,75016,['Aucune'],,Pas de résolution,,,,,Démolition totale,,,https://cdn.paris.fr/paris/2020/11/09/b91eb601637b2e4928bdca52307a2196.pdf,Disponible,Feature,"[2.2647827213019736, 48.841768923698616]",Point,2.2647827213019736,48.841768923698616
