annee_passage,date_passage,adresse,complement_d_adresse,code_postal,protection,voeu,resolution,siecle_de_construction,date_de_construction,designation,architecte,type_de_travaux_1,type_de_travaux_2,intervention,url_document_de_seance,doc_seance,geo_shape.type,geo_shape.geometry.coordinates,geo_shape.geometry.type,geo_point_2d.lon,geo_point_2d.lat
1969,1969-01-13,Parvis Notre-Dame,,75004,['Aucune'],Voeu contre l’installation d’un musée archéologique gallo-romain et paléo-chrétien » sous le Parvis Notre-Dame,Vœu,,,Parvis Notre-Dame,,,,,Non disponible,Non disponible,Feature,"[2.348121201278938, 48.853515548512334]",Point,2.348121201278938,48.853515548512334
1969,1969-02-03,46 rue Quincampoix,46-48 rue Quincampoix,75004,['Aucune'],"Voeu relatif au démontage de l’escalier de bois à balustres qui se trouve actuellement au fond du terrain vague fût réutilisé rapidement dans une construction de la Ville., ainsi que tous les autres éléments anciens",Vœu,,,,,Démolition partielle,Circulations intérieures,,Non disponible,Non disponible,Feature,"[2.350551307731165, 48.86101730895084]",Point,2.350551307731165,48.86101730895084
1969,1969-12-01,1 rue d'Ulm,1-3 rue d'Ulm,75005,['Aucune'],Rappel du voeu relatif à la construction du nouvel immeuble en pierre de taille conformément à son environnement et non d’un édifice en fer et verre,Vœu,,,,,Projet,,,Non disponible,Non disponible,Feature,"[2.345812873703161, 48.84532509287174]",Point,2.345812873703161,48.84532509287174
1966,1966-02-07,45 rue de Varenne,,75007,['Plan de sauvegarde et de mise en valeur'],"Voeu contre le projet de surélévation de l’ancien Hôtel de la Duchesse de Narbonne, déjà inscrit à l’Inventaire pour les façades",Vœu,XVIII,,Hôtel de la Duchesse de Narbonne,,Surélévation,,,Non disponible,Non disponible,Feature,"[2.322556963548623, 48.854260416113476]",Point,2.322556963548623,48.854260416113476
1989,1989-02-06,71 rue de la Victoire,,75009,['Aucune'],Voeu que les façades sur rue et sur cour soient entièrement conservées,Vœu,,,,,Façade,,,Non disponible,Non disponible,Feature,"[2.3331651683677475, 48.87520361873617]",Point,2.3331651683677475,48.87520361873617
1979,1979-03-06,22 quai des Célestins,22 quai des Célestins / 2 rue Saint-Paul,75004,['Plan de sauvegarde et de mise en valeur'],,,XX,,ancien entrepôt de la Samaritaine,Georges Bourneuf,,,Jean-Pierre Babelon : signalement des travaux actuellement en cours dans un entrepôt du grand magasin La Samaritaine,Non disponible,Non disponible,Feature,"[2.3608263860889753, 48.8524265343357]",Point,2.3608263860889753,48.8524265343357
1979,1979-04-02,6 rue du Val-de-Grâce,,75005,['Protection Ville de Paris'],,,XVIII,1796,,,,,,Non disponible,Non disponible,Feature,"[2.340460966534349, 48.84105172115795]",Point,2.340460966534349,48.84105172115795
1979,1979-10-08,11 rue des Lyonnais,,75005,['Aucune'],,,XVII,,,,,,,Non disponible,Non disponible,Feature,"[2.346515670259762, 48.83840376754957]",Point,2.346515670259762,48.83840376754957
1985,1985-11-04,108 rue d'Alésia,,75014,['Inscrit Monument historique'],Voeu en faveur de la conservation des panneaux décoratifs qui ornent la façade,Vœu,,,,,Démolition partielle,,,Non disponible,Non disponible,Feature,"[2.3225461410207777, 48.82945252452252]",Point,2.3225461410207777,48.82945252452252
1991,1991-11-04,13 rue Benjamin Franklin,13-15 rue Benjamin Franklin,75016,['Aucune'],Voeu en faveur de la conservation des façades,Vœu,,,,,Façade,,,Non disponible,Non disponible,Feature,"[2.2852149902035706, 48.859669071381354]",Point,2.2852149902035706,48.859669071381354
1991,1991-12-02,100 rue de Charonne,,75011,['Inscrit Monument historique'],"Renouvellement du voeu en faveur des bâtiments (inscrits ISMH) de l'ancien Couvent de la Madeleine de Traisnel . Elle demande qu'une active vigilance de l'ABF soit exercée à cette occasion et que tous les éléments anciens de ces bâtiments soient conservés et restaurés ""in situ""",Vœu,XVII,,,,Démolition partielle,Restauration,,Non disponible,Non disponible,Feature,"[2.3839744523078843, 48.854311959865825]",Point,2.3839744523078843,48.854311959865825
1991,1991-12-02,19 rue Saint Sébastien,,75011,['Aucune'],Protestation énergique contre le projet de démolition de l'immeuble du XVIIIe s.,Vœu,XVII,,,,Démolition totale,,,Non disponible,Non disponible,Feature,"[2.369289991564943, 48.86121408729072]",Point,2.369289991564943,48.86121408729072
1992,1992-11-09,22 rue Joubert,"22, 26-28 rue Joubert",75009,['Aucune'],Renouvellement du voeu (12-10-1992) en faveur de la conservation de ces immeubles promis à la démolition par la SNCF,Vœu,,,,,Démolition totale,,,Non disponible,Non disponible,Feature,"[2.329838463804585, 48.87471996955278]",Point,2.329838463804585,48.87471996955278
1992,1992-07-06,33 rue Dauphine,,75006,['Protection Ville de Paris'],Renouvellement du voeu en faveur de la conservation intégrale de l'immeuble,Vœu,XVII,,,,Démolition partielle,,,Non disponible,Non disponible,Feature,"[2.3394860130835675, 48.85479054445419]",Point,2.3394860130835675,48.85479054445419
1991,1991-06-03,149 rue Saint-Denis,149-153 rue Saint-Denis,75002,['Aucune'],"Voeu de protestation contre l'octroi du permis de démolir, malgré un engagement formel de conservation de ces façades",Vœu,,,,,Démolition partielle,Façade,,Non disponible,Non disponible,Feature,"[2.3501439664839596, 48.86479134553969]",Point,2.3501439664839596,48.86479134553969
1991,1991-10-14,9 rue du Cirque,9-11 rue du Cirque,75008,['Aucune'],Voeu de protestation contre le projet de suélévation de l'ensemble d'immeubles,Vœu,,,,,Surélévation,,,Non disponible,Non disponible,Feature,"[2.3143545256418268, 48.870337744758324]",Point,2.3143545256418268,48.870337744758324
1991,1991-10-14,27 rue d'Athènes,,75009,['Aucune'],Voeu en faveur de la conservation intégrale de l'immeuble,Vœu,,,,,Démolition partielle,,,Non disponible,Non disponible,Feature,"[2.327367383928608, 48.87787257748795]",Point,2.327367383928608,48.87787257748795
1992,1992-12-07,169 boulevard Saint Germain,,75006,['Protection Ville de Paris'],"Vœu pour qu'aucun élément ancien, pouvant exister à l'intérieur de l'immeuble, ne soit dénaturé et que la façade soit intégralement conservée",Vœu,,,,,Façade,,,Non disponible,Non disponible,Feature,"[2.33109487707236, 48.85411090359717]",Point,2.33109487707236,48.85411090359717
1993,1993-02-01,18 rue Bonaparte,,75006,['Aucune'],Voeu en faveur de la conservation intégrale de l'escalier,Vœu,,,,,Circulations intérieures,,,Non disponible,Non disponible,Feature,"[2.3342632393503813, 48.85609452021471]",Point,2.3342632393503813,48.85609452021471
1992,1992-03-09,17 rue de Paradis,,75010,['Aucune'],Voeu en faveur de la conservation de la façade,Vœu,,,,,Façade,,,Non disponible,Non disponible,Feature,"[2.3532245974572814, 48.87476996359339]",Point,2.3532245974572814,48.87476996359339
1995,1995-05-09,54 rue Montmartre,54-56-58 rue Montmartre,75002,['Protection Ville de Paris'],,,,,,,,,,Non disponible,Non disponible,Feature,"[2.344977230513207, 48.86538958651386]",Point,2.344977230513207,48.86538958651386
1993,1993-02-01,32 rue Morand,,75011,['Aucune'],Voeu en faveur de la conservation de la façade,Vœu,,,,,Démolition totale,Façade,,Non disponible,Non disponible,Feature,"[2.375548155806709, 48.86986458929045]",Point,2.375548155806709,48.86986458929045
1995,1995-04-04,102 avenue d'Italie,102 avenue d'Italie / 2-4 rue du Docteur Laurent,75013,['Aucune'],,,,,,,,,,Non disponible,Non disponible,Feature,"[2.357293230918894, 48.825166773917466]",Point,2.357293230918894,48.825166773917466
1995,1995-04-04,8 rue d'Aubervilliers,,75019,['Aucune'],,,XIX,,,,,,,Non disponible,Non disponible,Feature,"[2.365323660138067, 48.884890551646826]",Point,2.365323660138067,48.884890551646826
1995,1995-10-09,20 rue de Reuilly,20-20B rue de Reuilly / 34 rue de Chaligny / 63-75 boulevard Diderot,75012,['Aucune'],Pas de résolution,Pas de résolution,XIX,,,,Démolition partielle,,,Non disponible,Non disponible,Feature,"[2.3859585868430138, 48.848215428629906]",Point,2.3859585868430138,48.848215428629906
2003,2003-02-04,168 rue du Faubourg Saint-Honoré,"25X, 27X rue de Courcelles / 168-172 rue du Faubourg Saint-Honoré / 1-5, 2-6 rue Paul Cézanne",75008,['Aucune'],Le pétitionnaire a déposé pour cette importante opération de réhabilitation des plans modificatifs suite à des recommandations de la Commission qu’il s’engage à respecter. La Commission attend toutefois qu’on lui communique le permis de construire avant de donner son avis sur le permis de démolir.,Vœu,,,,,Démolition partielle,,,https://cdn.paris.fr/paris/2020/11/16/2b69ce386d0ce29758ec6ad8516d05cf.pdf,Disponible,Feature,"[2.308846072739801, 48.873758414409075]",Point,2.308846072739801,48.873758414409075
1995,1995-10-09,6B avenue de Villars,,75007,['Protection Ville de Paris'],,,XIX,,hôtel Coirre,,,,,Non disponible,Non disponible,Feature,"[2.313239700497344, 48.852363005436374]",Point,2.313239700497344,48.852363005436374
1995,1995-01-09,27 rue d'Anjou,27 rue d'Anjou / 6 rue de la Ville l'Evêque,75008,['Aucune'],,,XVIII,,,,,,,Non disponible,Non disponible,Feature,"[2.321640589536296, 48.87130544488658]",Point,2.321640589536296,48.87130544488658
1995,1995-05-09,28 rue de la Montagne Sainte-Geneviève,,75005,['Protection Ville de Paris'],"la CVP a formé un voeu contre toute surélévation du bâtiment, afin de ne pas accentuer les dommages perpétrés sur sa joli façade, caractèristique du XVIIIe siècle",Vœu,XVIII,,,,Surélévation,,,Non disponible,Non disponible,Feature,"[2.3484251804884733, 48.8482368800902]",Point,2.3484251804884733,48.8482368800902
2003,2003-02-04,18 rue Poissonnière,18 rue Poissonnière / 1 rue Beauregard / 1 rue Notre-Dame de Recouvrance,75002,['Protection Ville de Paris'],La Commission souhaite effectuer une visite de cet immeuble qui va être réaménagé par une société de logement social.,Vœu,XVIII,,,,Démolition partielle,,,https://cdn.paris.fr/paris/2020/11/16/2b69ce386d0ce29758ec6ad8516d05cf.pdf,Disponible,Feature,"[2.3478658029192276, 48.86930803296121]",Point,2.3478658029192276,48.86930803296121
2003,2003-05-07,58 rue Charlot,58 rue Charlot / 9 rue de Normandie,75003,,"Le pétitionnaire projette une transformation des parties hautes afin de rétablir le brisis dans son état d’origine, ce à quoi la Commission l’encourage.",Vœu,XVII,,Hôtel de Sauroy,Claude Charlot,Démolition partielle,,,https://cdn.paris.fr/paris/2020/11/16/176e4d1bdcf60aa765dc9f6fe10da396.pdf,Disponible,Feature,"[2.363345534017212, 48.86347996177534]",Point,2.363345534017212,48.86347996177534
2003,2003-04-01,21 boulevard Haussmann,21 boulevard Haussmann / 16 rue de la Chaussée d'Antin,75009,['Aucune'],,Pas de résolution,,,Hôtel Moreau,Henri,Restauration,,,https://cdn.paris.fr/paris/2020/11/16/ab1b3f6601692ca8fff07c6d6bc93ddb.pdf,Disponible,Feature,"[2.3340331328822828, 48.872689167969135]",Point,2.3340331328822828,48.872689167969135
2003,2003-04-01,44 rue Fabert,,75007,['Aucune'],"La Commission forme le vœu que la surélévation projetée sur ce bel hôtel particulier des années 1860 soit exécutée en pierre de taille, en respectant le dessin du comble actuellement existant.",Vœu,XIX,,,,Surélévation,,,https://cdn.paris.fr/paris/2020/11/16/ab1b3f6601692ca8fff07c6d6bc93ddb.pdf,Disponible,Feature,"[2.3111280369537863, 48.858941462569206]",Point,2.3111280369537863,48.858941462569206
2003,2003-07-01,48 rue Myrha,,75018,['Aucune'],La Commission ne peut que constater leur état irrécupérable de délabrement avancé et regrette un défaut de réflexion sur la typologie du quartier de la Goutte d’Or.,Vœu,,,,,Démolition totale,Projet,,https://cdn.paris.fr/paris/2020/11/16/0e731837333c29bd720d93b7824bb713.pdf,Disponible,Feature,"[2.3523775032912098, 48.887002969128204]",Point,2.3523775032912098,48.887002969128204
2003,2003-10-07,9 rue Saint-Georges,9 rue Saint-Georges / 37-41 rue de la Victoire,75009,['Protection Ville de Paris'],La Commission a donc formé le vœu que la façade et l’escalier soient conservés.,Vœu,XX,,,Jean Balladur,Façade,Circulations intérieures,,https://cdn.paris.fr/paris/2020/11/16/47a8c7a719e25e00977e03ee209163ad.pdf,Disponible,Feature,"[2.3370243777503665, 48.87501285588084]",Point,2.3370243777503665,48.87501285588084
2003,2003-07-01,31 rue de la Pompe,,75016,['Protection Ville de Paris'],"Les services de la Commission n’ont pu visiter la chapelle, aussi la Commission juge-t-elle prudent de prévenir une éventuelle dégradation en formant un vœu pour la préservation des décors, des vitraux et du mobilier d’origine de cette chapelle.",Vœu,XIX,,Lycée Gerson (chapelle),Léon Salleron ; Eugène Homberg,Décors,,,https://cdn.paris.fr/paris/2020/11/16/0e731837333c29bd720d93b7824bb713.pdf,Disponible,Feature,"[2.2750596171624626, 48.86072326517771]",Point,2.2750596171624626,48.86072326517771
2004,2004-03-09,53 rue des Petits-Champs,,75001,['Protection Ville de Paris'],Est signalée aux membres de la Commission la perte pour le patrimoine parisien du très bel escalier Louis XVI pour lequel la Commission avait formé un vœu de conservation lors d’une séance passée. Un ascenseur l’a malheureusement dénaturé.,Vœu,XVIII,,,,Démolition partielle,Circulations intérieures,,https://cdn.paris.fr/paris/2020/11/10/7cfe4b2914d8161978b6ce9b2b58a020.pdf,Disponible,Feature,"[2.3349212306801346, 48.86715231182097]",Point,2.3349212306801346,48.86715231182097
2004,2004-02-10,6 villa de Saxe,,75007,['Aucune'],,Pas de résolution,XIX,,,,Démolition totale,,,https://cdn.paris.fr/paris/2020/11/10/1834d1c38b2b739b6706abd6406c294e.pdf,Disponible,Feature,"[2.3096933101620927, 48.84951136611865]",Point,2.3096933101620927,48.84951136611865
2004,2004-02-10,161 boulevard Haussmann,,75008,['Aucune'],"Le projet, bouleversant l’ordonnancement haussmannien donnant sur la rue et dénaturant le comble de l’édifice, la Commission émet un vœu défavorable à l’établissement de lucarnes.",Vœu,XIX,,,,Démolition partielle,,,https://cdn.paris.fr/paris/2020/11/10/1834d1c38b2b739b6706abd6406c294e.pdf,Disponible,Feature,"[2.3088363952120385, 48.874864358157744]",Point,2.3088363952120385,48.874864358157744
2004,2004-09-14,54 boulevard Kellerman,54X boulevard Kellerman ; 1-3 place de Rungis ; 1X rue Brillat Savarin ; 2X rue des Longues Raies ; 44X rue des Peupliers,75013,['Aucune'],,Pas de résolution,,,,,Démolition totale,,,https://cdn.paris.fr/paris/2020/11/10/09344ac657dfc45bd54e33bd673e973c.pdf,Disponible,Feature,"[2.3512546524107893, 48.82123582016541]",Point,2.3512546524107893,48.82123582016541
2004,2004-09-14,5 place des Petits-Pères,5 place des Petits-Pères / 2 passage des Petits-Pères,75002,"['Protection Ville de Paris', 'Inscrit Monument historique']",,Pas de résolution,XVIII,1780,,Nicolas Ducret,Restauration,,,https://cdn.paris.fr/paris/2020/11/10/09344ac657dfc45bd54e33bd673e973c.pdf,Disponible,Feature,"[2.3405719627914414, 48.86652824094155]",Point,2.3405719627914414,48.86652824094155
2004,2004-07-08,12 rue Philippe-de-Girard,,75010,['Protection Ville de Paris'],"Cet édifice rationaliste ne peut disparaître compte tenu de son importante valeur historique et architecturale, la Commission émet donc un vœu en faveur de sa protection au titre des Monuments Historiques et se prononce aussi contre toute démolition qui l’altèrerait.",Vœu,XIX,1876,caserne de pompiers Château-Landon,Antoine Soudée,Démolition totale,Protection,,https://cdn.paris.fr/paris/2020/11/10/550d7cc6506ab1c08dd4732aa3fa3c89.pdf,Disponible,Feature,"[2.362020623021596, 48.88164766215442]",Point,2.362020623021596,48.88164766215442
2004,2004-10-12,26 rue de la Tombe Issoire,26-30 rue de la Tombe Issoire ; 15-17 villa Saint-Jacques,75014,"['Protection Ville de Paris', 'Inscrit Monument historique']","La Commission du vieux Paris, réunie le 12 octobre 2004 à l’Hôtel de Ville, sous la présidence de M. Jacques Bravo, maire du 9e arrondissement, rappelant sa satisfaction de la conservation du grand immeuble à porte cochère sis 26-30, rue de la Tombe Issoire et celle du pavillon de style troubadour sis 15-17, villa Saint-Jacques (14e arr.), a formé le vœu qu’une étude historique précise et complète soit menée sur l’ensemble de la parcelle avant de se prononcer sur la demande de démolition de l’ancienne laiterie.",Vœu,XIX,,,,Démolition partielle,Etude historique,,https://cdn.paris.fr/paris/2020/11/10/410c2c9cb861487519ef46a8436a6f17.pdf,Disponible,Feature,"[2.334882658221373, 48.83154296988484]",Point,2.334882658221373,48.83154296988484
2004,2004-12-09,26 rue de la Tombe Issoire,26-30 rue de la Tombe Issoire / 15-17 villa Saint-Jacques,75014,"['Protection Ville de Paris', 'Classé Monument historique']","La Commission du vieux Paris, réunie le 9 décembre 2004 à l’Hôtel de Ville, sous la présidence de M. Jacques Bravo, maire du 9e arrondissement, a formé le vœu que les carrières médiévales de Port-Mahon soient préservées dans leur intégrité. Elle a donc souhaité que les projets immobiliers envisagés sur la parcelle sise 26-30, rue de la Tombe-Issoire (14e arr.) se limitent aux volumes actuellement construits afin de ne pas porter atteinte aux sous-sols. Elle a également rappelé son vœu de conservation du pavillon de style troubadour sis villa Saint-Jacques.",Vœu,,,,,Démolition partielle,,,https://cdn.paris.fr/paris/2020/11/10/53f1c16f2600c1f0b558c178f2cc0897.pdf,Disponible,Feature,"[2.334882658221373, 48.83154296988484]",Point,2.334882658221373,48.83154296988484
2005,2005-02-17,3 quai Malaquais,,75006,['Classé Monument historique'],"La Commission du vieux Paris, réunie le 17 février 2005 à l’Hôtel de Ville, sous la présidence de Mme Moïra Guilmart, adjointe au maire chargée du patrimoine, a formé de le vœu que ne soit pas installé d’ascenseur dans le vide de l’escalier de l’époque du règne de Louis XVI, afin de préserver son intégrité ainsi que sa rampe de serrurerie.",Vœu,XVII,,"ancien Hôtel de Sèvres, hôtel Dorat",,Circulations intérieures,,,Bientôt disponible,Bientôt disponible,Feature,"[2.3359848314194678, 48.857550475072244]",Point,2.3359848314194678,48.857550475072244
2005,2005-09-20,17 avenue de l'Opéra,,75001,['Aucune'],,Pas de résolution,XIX,,,,Démolition partielle,,,Bientôt disponible,Bientôt disponible,Feature,"[2.334171598197454, 48.865781975191]",Point,2.334171598197454,48.865781975191
2004,2004-11-04,2 place de l'Hôtel de Ville,2-10 place de l'Hôtel de Ville ; 94 quai de l'Hôtel de Ville ; 1-5 rue de Lobau ; 29 rue de Rivoli,75004,"['Inscrit Monument historique', 'Plan de sauvegarde et de mise en valeur']","La Commission du vieux Paris, réunie le 4 novembre 2004 à l’Hôtel de Ville, sous la présidence de Mme Moïra Guilmart, conseillère de Paris, a formé le vœu que les décors et les œuvres d’art qui meublent l’Hôtel de Ville soient conservés et restaurés avec le plus grand soin. Elle a été particulièrement sensible aux dégradations constatées sur l’un des quatre exceptionnels vases en porcelaine de Sèvres du salon Jean-Paul Laurens, et à l’état général des tapisseries et tentures. Elle a par ailleurs souhaité que ces collections soient placées sous la vigilance d’un conservateur du patrimoine.",Vœu,XIX,,Hôtel de Ville,,Décors,Restauration,,https://cdn.paris.fr/paris/2020/11/10/0b33efa05ef2648772beb2ddcaba5357.pdf,Disponible,Feature,"[2.3590686012221083, 48.85334410142175]",Point,2.3590686012221083,48.85334410142175
2005,2005-02-17,94 rue Jean-Pierre Timbaud,,75011,['Inscrit Monument historique'],,Pas de résolution,XIX,,maisons des Métallos,,Démolition partielle,,,Bientôt disponible,Bientôt disponible,Feature,"[2.3778524370243943, 48.867730804736404]",Point,2.3778524370243943,48.867730804736404
2005,2005-04-21,69 rue Mouffetard,,75005,['Protection Ville de Paris'],,Pas de résolution,XVIII,,Le Vieux chêne,,,,Signalement concernant la disparition du décor et de l'enseigne qui ornaient l'immeuble.,Bientôt disponible,Bientôt disponible,Feature,"[2.349833044882996, 48.842339470079345]",Point,2.349833044882996,48.842339470079345
2005,2005-04-21,22 rue Clément Marot,22 rue Clément Marot / 39-41 rue Fançois 1er / 15-21 rue Marboeuf  / 4-8 rue de Cerisoles,75008,['Aucune'],"La Commission du vieux Paris, réunie le 21 avril 2005, sous la présidence de Mme Moïra Guilmart, adjointe au maire chargée du patrimoine, a formé le vœu que les cages d’escalier de l’immeuble sis 5, avenue de l’Opéra, 6, rue d’Argenteuil et 13, rue de l’Échelle (1er arr.) et de celui sis 22, rue Clément Marot, 39-41, rue François 1er, 15-21, rue Marbeuf et 4-8, rue Cerisoles (8e arr.) soient préservées dans leur intégrité. Elle a souhaité que dans les deux cas soit étudiés les moyens d’accéder à l’étage des combles autrement qu’en prolongeant l’escalier principal de ces importants immeubles de la seconde moitié du 19e siècle.",Vœu,XIX,,,,Circulations intérieures,,,Bientôt disponible,Bientôt disponible,Feature,"[2.302681393971219, 48.868160271490346]",Point,2.302681393971219,48.868160271490346
2005,2005-11-24,58 boulevard Lefebvre,58 boulevard Lefebvre / 5 avenue de la porte de Plaisance / 4-10 rue André Theuriet  / 25-27 avenue Albert Bartholomé,75015,['Aucune'],"Vœu pour le respect et la mise en valeur des bâtiments du laboratoire de l’école des Ponts et Chaussées, situés au 58, boulevard Lefebvre et de son annexe au 5, avenue de la Porte de Plaisance, 4-10 rue André Theuriet, et 25-27 avenue Albert Bartholomé (15e arr.). La Commission du vieux Paris, réunie le 24 novembre 2005 à l’Hôtel de Ville, sous la présidence de Mme Moïra Guilmart, adjointe au maire chargée du patrimoine, demande que le projet de reconversion envisagé sur les laboratoires de l’école des Ponts et Chaussées  se fasse dans le respect de leurs qualités architecturales tant sur le bâtiment datant de 1938, au 58 boulevard Lefebvre que sur l’annexe postérieure au 5, avenue de la Porte de Plaisance, 4-10, rue André Theuriet, et 25-27, avenue Albert Bartholomé et souhaite qu’une étude historique et artistique soit menée pour en évaluer l’originalité patrimoniale.",Vœu,XX,1938,laboratoire central des Ponts et Chaussées,Robert Joly,Démolition partielle,Etude historique,,Bientôt disponible,Bientôt disponible,Feature,"[2.2960080290535863, 48.829571422690705]",Point,2.2960080290535863,48.829571422690705
2007,2007-06-12,17 rue du Four,1-3 rue Princesse  / 17 rue du Four,75006,['Aucune'],,Pas de résolution,,1928 ; 1970,,Victor Lesage et Charles Miltgen ; Blanchot,Démolition partielle,,,https://cdn.paris.fr/paris/2020/02/26/5f5a709b9b2491a8253c4518361db5c0.pdf,Disponible,Feature,"[2.3346328588351652, 48.85268864079244]",Point,2.3346328588351652,48.85268864079244
2007,2007-06-12,172 rue du Faubourg Saint-Honoré,1-5 rue Paul Cézanne / 27 rue de Courcelles  / 172 rue du Faubourg Saint-Honoré,75008,['Protection Ville de Paris'],"La Commission du vieux Paris, réunie le 12 juin 2007 à l’Hôtel de Ville sous la présidence de Mme Moïra Guilmart, adjointe au Maire chargée du patrimoine, a vivement protesté contre les travaux effectués sans attendre la délivrance des autorisations dans les niveaux commerciaux de cet immeuble mixte des années trente conçu par Urbain Cassan alors collaborateur de Plousey, et qui a abrité le célèbre restaurant « Le Bagdad » réalisé en 1932 par l’architecte Hennequet et protégé au titre du Plan Local d’Urbanisme.",Vœu,XX,1932,ancien restaurant Le Bagdad,"Urbain Cassan
et Plousey ; Hennequet",Démolition partielle,,,https://cdn.paris.fr/paris/2020/02/26/5f5a709b9b2491a8253c4518361db5c0.pdf,Disponible,Feature,"[2.3083032402811003, 48.87399085238699]",Point,2.3083032402811003,48.87399085238699
2006,2006-04-25,112 rue du Théâtre,,75015,['Aucune'],"La Commission du vieux Paris, réunie le 25 avril 2006 à l’Hôtel de Ville sous la présidence de Mme Moïra Guilmart, adjointe au Maire chargée du patrimoine, a formé un vœu pour la conservation et la réhabilitation et le maintien de la typologie particulière de cet ensemble bâti situé au 112 rue du Théâtre (15e arr.). Appartenant à une séquence de maisons basses, rare témoignage de l’ancien lotissement de Grenelle construit sous la Restauration par Léonard Violet, cette ensemble mériterait d’être protégé au titre du futur PLU, de même que le sont les n°114 à 118 rue du Théâtre (15e arr.).",Vœu,XIX,,,,Démolition totale,,,https://cdn.paris.fr/paris/2020/02/26/7f44d37fb42f0f3e37d97d4a5c5d5a7b.pdf,Disponible,Feature,"[2.2947927373360026, 48.8462634441034]",Point,2.2947927373360026,48.8462634441034
2007,2007-06-12,20 villa Scheffer,,75016,['Aucune'],,Pas de résolution,,1887,,Albert Olezinski,Circulations intérieures,,,https://cdn.paris.fr/paris/2020/02/26/5f5a709b9b2491a8253c4518361db5c0.pdf,Disponible,Feature,"[2.279299575384063, 48.863134825942254]",Point,2.279299575384063,48.863134825942254
2006,2006-03-02,50 rue Polonceau,,75018,['Aucune'],,Pas de résolution,,,,,Démolition totale,,,https://cdn.paris.fr/paris/2019/07/24/28607956f99b2190e0e88d5dd99baa1f.pdf,Disponible,Feature,"[2.3508549751724224, 48.886000209984466]",Point,2.3508549751724224,48.886000209984466
2007,2007-12-20,92 rue Cardinet,92-92b rue Cardinet  / 47-49b rue de Tocqueville,75017,['Aucune'],"La Commission du vieux Paris, réunie le 20 décembre 2007 à l’Hôtel de Ville sous la présidence de Mme Moïra Guilmart, adjointe au Maire chargée du patrimoine, a formé un vœu en faveur d’une visite complète des bâtiments, afin de pouvoir juger de la qualité patrimoniale de l’ancienne Ecole des Hautes Etudes Commerciales, construite en 1928 par l’architecte Georges Lisch au 92-92B rue Cardinet et 47-49B rue de Tocqueville (17e arr.)",Vœu,XX,,ancienne Ecole des Hautes Etudes Commerciales,Georges Lisch,Démolition partielle,,,https://cdn.paris.fr/paris/2020/11/09/e0e05ab78aae8dcb35d17038a7ca74c5.pdf,Disponible,Feature,"[2.310360268153979, 48.88475388459459]",Point,2.310360268153979,48.88475388459459
2006,2006-04-25,60 avenue de La Motte Picquet,60-62 avenue de La Motte Picquet,75015,['Aucune'],,Pas de résolution,XX,1957,"cinéma ""Le Splendid"", appelé également le ""Kinopanorama"",",Philippe Confesson,Démolition partielle,,,https://cdn.paris.fr/paris/2020/02/26/7f44d37fb42f0f3e37d97d4a5c5d5a7b.pdf,Disponible,Feature,"[2.298755467076975, 48.84990095242658]",Point,2.298755467076975,48.84990095242658
2006,2006-04-25,184 rue du Faubourg Saint-Antoine,,75012,['Inscrit Monument historique'],,Pas de résolution,,,hôpital Saint-Antoine,,Démolition totale,,,https://cdn.paris.fr/paris/2020/02/26/7f44d37fb42f0f3e37d97d4a5c5d5a7b.pdf,Disponible,Feature,"[2.38288102627517, 48.84994314910473]",Point,2.38288102627517,48.84994314910473
2006,2006-04-25,115 avenue Emile Zola,115 avenue Emile Zola  / 70-74 rue du Théâtre,75015,['Aucune'],,Pas de résolution,XIX,,,,Démolition totale,,,https://cdn.paris.fr/paris/2020/02/26/7f44d37fb42f0f3e37d97d4a5c5d5a7b.pdf,Disponible,Feature,"[2.2908680348857735, 48.84689322399786]",Point,2.2908680348857735,48.84689322399786
2006,2006-09-12,1 rue d'Aubervilliers,1 rue d'Aubervilliers  / 2-4 boulevard de la Chapelle,75018,['Aucune'],,Pas de résolution,,,secteur îlot Caillié,,Démolition totale,,,https://cdn.paris.fr/paris/2019/07/24/b3c9b024ea9e526c660d2c48ca695925.pdf,Disponible,Feature,"[2.3648338373038404, 48.884637726278505]",Point,2.3648338373038404,48.884637726278505
2007,2007-01-25,9 rue Méchain,9-13 rue Méchain,75014,['Protection Ville de Paris'],"La Commission du vieux Paris, réunie le 25 janvier 2007 à l’Hôtel de Ville sous la présidence de Mme Moïra Guilmart, adjointe au Maire chargée du patrimoine, a formé un voeu en faveur de la conservation de l’escalier existant de l’ensemble bâti sur rue dans le cadre du projet envisagé au 9-13 rue Méchain (14e arr.), ensemble pittoresque de maisons en briques datant de la fin du xixe siècle (construites puis surélevées en 1901 par l’architecte Émile Guénot) ayant abrité les éditions Nathan et protégé au titre du PLU.",Vœu,XIX,,Ancien siège des éditions Nathan,Émile Guénot,Circulations intérieures,,,https://cdn.paris.fr/paris/2019/07/24/3ffb28df3d536770eb3b3caf65221406.pdf,Disponible,Feature,"[2.340202370534356, 48.8355536738733]",Point,2.340202370534356,48.8355536738733
