etablissement,adobe_acrobat_reader_dc_lecteur_de_fichiers_pdf,audacity_editeur_de_sons,bdnf_pour_realiser_des_bds_des_romans_graphiques_et_tout_recit_melant_illustration_et_texte,blender_dessin_3d,bluegriffon_editeur_html,cc_pdf_converter_generateur_de_fichier_pdf_gerant_les_licences_creative_commons,clam_chordata_pour_voir_les_accords_des_fichiers_musicaux,clavier_visuel_clavier_virtuel,cura_logiciel_d_impression_3d,fotowall_gestionnaire_de_photos,greenshot_capture_d_ecran,inkscape_dessin_vectoriel,l_outil_capture_d_ecran_propose_en_standard_par_windows_capture_d_ecran,libreoffice_base_base_de_donnees,libreoffice_calc_tableur,libreoffice_draw_outil_permettant_de_creer_des_graphiques,libreoffice_impress_outil_pour_creer_des_presentations_multimedia,libreoffice_math_editeur_de_formules_et_d_equations,libreoffice_writer_traitement_de_texte,movie_maker_montage_video,musescore_editeur_de_partitions,musinekit_logiciel_de_creation_musicale,notepad_editeur_de_texte_et_editeur_de_code_source,openshot_video_editor_montage_video,outil_capture_d_ecran_capture_d_ecran,paint_3d_modelisation_et_d_impression_3d,paint_logiciel_de_retouche_photos_et_images,pdf_creator_lecture_conversion_de_fichier_pdf,pencil_graphisme_et_animation_2d,photofiltre_7_gestionnaire_de_photos,scratch_initiation_a_la_programmation_informatique,shotcut_montage_video,silhouette_studio_logiciel_de_decoupe,sketchup_logiciel_de_conception_3d,vlc_media_player_lecteur_multimedia,windows_media_player_lecteur_multimedia,position.lon,position.lat
Françoise Sagan,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.353533,48.875818
La Canopée,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.346907,48.862069
Italie,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3569681,48.8308705
Bibliothèque de la Maison Paris Nature,OUI,NON,NON,NON,NON,NON,NON,OUI,NON,OUI,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,OUI,NON,NON,NON,NON,OUI,OUI,2.450027699999964,48.830384
Claude Lévi-Strauss,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3724595,48.8873166
Courcelles,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3029806,48.8778252
Louise Michel,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.4010184,48.8531576
Louise Walser-Gaillard,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3323039,48.8811111
L'Heure Joyeuse,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3452233,48.8521289
Bibliothèque du Cinéma - François Truffaut,OUI,NON,NON,NON,NON,NON,NON,OUI,NON,OUI,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,OUI,NON,NON,NON,NON,OUI,OUI,2.3436367,48.8623059
Bibliothèque de la Maison de Balzac,OUI,NON,NON,NON,NON,NON,NON,OUI,NON,OUI,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,OUI,NON,NON,NON,NON,OUI,OUI,2.2807446,48.8551734
Crimée,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3830431,48.8848913
Maurice Genevoix,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3637139,48.894909
Diderot,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3777229,48.8459745
