etablissement,adobe_acrobat_reader_dc_lecteur_de_fichiers_pdf,audacity_editeur_de_sons,bdnf_pour_realiser_des_bds_des_romans_graphiques_et_tout_recit_melant_illustration_et_texte,blender_dessin_3d,bluegriffon_editeur_html,cc_pdf_converter_generateur_de_fichier_pdf_gerant_les_licences_creative_commons,clam_chordata_pour_voir_les_accords_des_fichiers_musicaux,clavier_visuel_clavier_virtuel,cura_logiciel_d_impression_3d,fotowall_gestionnaire_de_photos,greenshot_capture_d_ecran,inkscape_dessin_vectoriel,l_outil_capture_d_ecran_propose_en_standard_par_windows_capture_d_ecran,libreoffice_base_base_de_donnees,libreoffice_calc_tableur,libreoffice_draw_outil_permettant_de_creer_des_graphiques,libreoffice_impress_outil_pour_creer_des_presentations_multimedia,libreoffice_math_editeur_de_formules_et_d_equations,libreoffice_writer_traitement_de_texte,movie_maker_montage_video,musescore_editeur_de_partitions,musinekit_logiciel_de_creation_musicale,notepad_editeur_de_texte_et_editeur_de_code_source,openshot_video_editor_montage_video,outil_capture_d_ecran_capture_d_ecran,paint_3d_modelisation_et_d_impression_3d,paint_logiciel_de_retouche_photos_et_images,pdf_creator_lecture_conversion_de_fichier_pdf,pencil_graphisme_et_animation_2d,photofiltre_7_gestionnaire_de_photos,scratch_initiation_a_la_programmation_informatique,shotcut_montage_video,silhouette_studio_logiciel_de_decoupe,sketchup_logiciel_de_conception_3d,vlc_media_player_lecteur_multimedia,windows_media_player_lecteur_multimedia,position.lon,position.lat
Médiathèque Musicale de Paris,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.34573014115,48.86306045
Robert Sabatier,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3441532,48.8905832
Drouot,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3404653,48.8733839
Parmentier,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3794671,48.8591443
Andrée Chedid,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.2864279,48.849937
BILIPO,OUI,NON,NON,NON,NON,NON,NON,OUI,NON,OUI,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,OUI,NON,NON,NON,NON,OUI,OUI,2.3513354,48.8465258
Violette Leduc,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3839448,48.8515962
Centre de Documentation sur les métiers du Livre,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3591175,48.8419904
Marguerite Yourcenar,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3036789,48.8367728
Claire Bretécher (ex-Lancry),OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3626033,48.8719649
Sagan - Heure Joyeuse patrimoine,OUI,NON,NON,NON,NON,NON,NON,OUI,NON,OUI,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,OUI,NON,NON,NON,NON,OUI,OUI,2.353533,48.875818
Mohammed Arkoun,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3496874,48.8424926
Hergé,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3674171,48.8848773
André Malraux,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3275429,48.8478671
Bibliothèque historique de la Ville de Paris,OUI,NON,NON,NON,NON,NON,NON,OUI,NON,OUI,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,OUI,NON,NON,NON,NON,OUI,OUI,2.3617132,48.8571172
Colette Vivier,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3197217,48.8897366
Bibliothèque de l'Ecole Estienne,OUI,NON,NON,NON,NON,NON,NON,OUI,NON,OUI,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,OUI,NON,NON,NON,NON,OUI,OUI,2.3524239,48.8307728
Benoîte Groult,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3199849,48.838246
Glacière - Marina Tsvetaïeva,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3442413,48.8311087
Place des fêtes,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3975049,48.8793551
Jean-Pierre Melville,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3663928,48.8268092
Vaclav Havel,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.362957,48.8890032
Bibliothèque de l'hôtel de Ville,OUI,NON,NON,NON,NON,NON,NON,OUI,NON,OUI,NON,NON,NON,OUI,OUI,OUI,OUI,OUI,OUI,NON,NON,NON,NON,NON,OUI,OUI,NON,NON,NON,OUI,NON,NON,NON,NON,OUI,OUI,2.3531895,48.8558463
Couronnes - Naguib Mahfouz,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3893099,48.8718064
Amélie,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3089956,48.8580602
Charlotte Delbo,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,OUI,2.3404242,48.8665015
